# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 3.40000E+01
2.47969E-05 3.40000E+01
4.95937E-05 3.39948E+01
9.91875E-05 3.39897E+01
1.23984E-04 3.39880E+01
1.66603E-04 3.39786E+01
1.95662E-04 3.39735E+01
2.30534E-04 3.39683E+01
2.47969E-04 3.39660E+01
3.71953E-04 3.39320E+01
4.64941E-04 3.38938E+01
4.95937E-04 3.38790E+01
6.19922E-04 3.38110E+01
6.27361E-04 3.38057E+01
7.43906E-04 3.37300E+01
9.29882E-04 3.35809E+01
9.91875E-04 3.35260E+01
1.17785E-03 3.33390E+01
1.23984E-03 3.32720E+01
1.36383E-03 3.31274E+01
1.54980E-03 3.28879E+01
1.61180E-03 3.28027E+01
1.73578E-03 3.26280E+01
1.95275E-03 3.22989E+01
2.10773E-03 3.20500E+01
2.13873E-03 3.19981E+01
2.23172E-03 3.18470E+01
2.47969E-03 3.14240E+01
2.75096E-03 3.09369E+01
2.94463E-03 3.05772E+01
2.98331E-03 3.05057E+01
3.09961E-03 3.02900E+01
3.40957E-03 2.97055E+01
3.56455E-03 2.94154E+01
3.71953E-03 2.91270E+01
4.18447E-03 2.82711E+01
4.33945E-03 2.79930E+01
4.80439E-03 2.71714E+01
4.95937E-03 2.69080E+01
5.57929E-03 2.58934E+01
5.88926E-03 2.54134E+01
6.19922E-03 2.49530E+01
6.81914E-03 2.40733E+01
7.12910E-03 2.36551E+01
7.43906E-03 2.32490E+01
7.96304E-03 2.25641E+01
8.52392E-03 2.18993E+01
9.45381E-03 2.08122E+01
9.91875E-03 2.02890E+01
1.04471E-02 1.96866E+01
1.10036E-02 1.91021E+01
1.19335E-02 1.81202E+01
1.23984E-02 1.76420E+01
1.29295E-02 1.70871E+01
1.34833E-02 1.65496E+01
1.44132E-02 1.56506E+01
1.48781E-02 1.52160E+01
1.54856E-02 1.46493E+01
1.61180E-02 1.41038E+01
1.67264E-02 1.35797E+01
1.73578E-02 1.30750E+01
1.82640E-02 1.23659E+01
1.92176E-02 1.16952E+01
1.98375E-02 1.12810E+01
2.04303E-02 1.09035E+01
2.13529E-02 1.03609E+01
2.23172E-02 9.84520E+00
2.35244E-02 9.27117E+00
2.47969E-02 8.73060E+00
2.55600E-02 8.44698E+00
2.63467E-02 8.17257E+00
2.78965E-02 7.70099E+00
2.86726E-02 7.49254E+00
2.98117E-02 7.22178E+00
3.09961E-02 6.96080E+00
3.23240E-02 6.71615E+00
3.37089E-02 6.48009E+00
3.56455E-02 6.20009E+00
3.71953E-02 6.00250E+00
3.98158E-02 5.70159E+00
4.26209E-02 5.41576E+00
4.33945E-02 5.33762E+00
4.56709E-02 5.10723E+00
4.82869E-02 4.83910E+00
4.95937E-02 4.70240E+00
5.17708E-02 4.45790E+00
5.34662E-02 4.28291E+00
5.61138E-02 4.03321E+00
5.88926E-02 3.79807E+00
6.19922E-02 3.57020E+00
6.46481E-02 3.40549E+00
6.74177E-02 3.24838E+00
6.98131E-02 3.10774E+00
7.12910E-02 3.01576E+00
7.14472E-02 3.00567E+00
7.34086E-02 2.87474E+00
7.43906E-02 2.80540E+00
7.59404E-02 2.69113E+00
7.75813E-02 2.56738E+00
8.01094E-02 2.39235E+00
8.27199E-02 2.22925E+00
8.47557E-02 2.12443E+00
8.67890E-02 2.04070E+00
8.83388E-02 1.99136E+00
8.96952E-02 1.95587E+00
9.43220E-02 1.86550E+00
9.91875E-02 1.77930E+00
1.02190E-01 1.71398E+00
1.04916E-01 1.64905E+00
1.07738E-01 1.57810E+00
1.10636E-01 1.51020E+00
1.13924E-01 1.43646E+00
1.17309E-01 1.36632E+00
1.21760E-01 1.28876E+00
1.23984E-01 1.25640E+00
1.27084E-01 1.21864E+00
1.29797E-01 1.19093E+00
1.34543E-01 1.15133E+00
1.41483E-01 1.10566E+00
1.48781E-01 1.06180E+00
1.54980E-01 1.02412E+00
1.61804E-01 9.81859E-01
1.68929E-01 9.41341E-01
1.73578E-01 9.16100E-01
1.81161E-01 8.76766E-01
1.89076E-01 8.39120E-01
1.98375E-01 7.93000E-01
2.07287E-01 7.46573E-01
2.14746E-01 7.07265E-01
2.23050E-01 6.64275E-01
2.31950E-01 6.19915E-01
2.39826E-01 5.82211E-01
2.47969E-01 5.46800E-01
2.55600E-01 5.14999E-01
2.63467E-01 4.85048E-01
2.68210E-01 4.67466E-01
2.75485E-01 4.42280E-01
2.82957E-01 4.18451E-01
2.91001E-01 3.93801E-01
2.99273E-01 3.70604E-01
3.08227E-01 3.46747E-01
3.17449E-01 3.24426E-01
3.27037E-01 3.02443E-01
3.36915E-01 2.81949E-01
3.45557E-01 2.64961E-01
3.54422E-01 2.48997E-01
3.63082E-01 2.34151E-01
3.71953E-01 2.20190E-01
3.79623E-01 2.08675E-01
3.87451E-01 1.97762E-01
3.94062E-01 1.88841E-01
4.04190E-01 1.76209E-01
4.14579E-01 1.64421E-01
4.24624E-01 1.53681E-01
4.34912E-01 1.43642E-01
4.42350E-01 1.36733E-01
4.53747E-01 1.26987E-01
4.65437E-01 1.17936E-01
4.72882E-01 1.12470E-01
4.84272E-01 1.04742E-01
4.95937E-01 9.75450E-02
5.07434E-01 9.09522E-02
5.19197E-01 8.48049E-02
5.30106E-01 7.94745E-02
5.38438E-01 7.56978E-02
5.51182E-01 7.03665E-02
5.64228E-01 6.54107E-02
5.74501E-01 6.17461E-02
5.82329E-01 5.91330E-02
5.94270E-01 5.54193E-02
6.06457E-01 5.19388E-02
6.20499E-01 4.81949E-02
6.31243E-01 4.55652E-02
6.39423E-01 4.36875E-02
6.51893E-01 4.10151E-02
6.64606E-01 3.85061E-02
6.77557E-01 3.61058E-02
6.87435E-01 3.44043E-02
7.02524E-01 3.20012E-02
7.17944E-01 2.97660E-02
7.33726E-01 2.76502E-02
7.45790E-01 2.61626E-02
7.54967E-01 2.50997E-02
7.68946E-01 2.35857E-02
7.83184E-01 2.21631E-02
7.93190E-01 2.12141E-02
8.11007E-01 1.96500E-02
8.24633E-01 1.85530E-02
8.35002E-01 1.77707E-02
8.50801E-01 1.66587E-02
8.66898E-01 1.56162E-02
8.78039E-01 1.49342E-02
8.97880E-01 1.38117E-02
9.13055E-01 1.30255E-02
9.24604E-01 1.24654E-02
9.42202E-01 1.16700E-02
9.60135E-01 1.09254E-02
9.78795E-01 1.02051E-02
9.95420E-01 9.61399E-03
1.01020E+00 9.12488E-03
1.02331E+00 8.71737E-03
1.03492E+00 8.37576E-03
1.05556E+00 7.80983E-03
1.07131E+00 7.41062E-03
1.09537E+00 6.84974E-03
1.11998E+00 6.33131E-03
1.13430E+00 6.05037E-03
1.14699E+00 5.81479E-03
1.16953E+00 5.42438E-03
1.18672E+00 5.14887E-03
1.21299E+00 4.76162E-03
1.23984E+00 4.40350E-03
1.25819E+00 4.17742E-03
1.27622E+00 3.96948E-03
1.29393E+00 3.77791E-03
1.31133E+00 3.60115E-03
1.32840E+00 3.43780E-03
1.34515E+00 3.28663E-03
1.36158E+00 3.14652E-03
1.37769E+00 3.01649E-03
1.39347E+00 2.89565E-03
1.40894E+00 2.78321E-03
1.43939E+00 2.57762E-03
