Wavelength [nm];Responsivity [A/W]
350;0.1506
370;0.1474
390;0.1718
410;0.1922
430;0.2087
450;0.2233
470;0.2368
490;0.2497
510;0.2621
530;0.2742
550;0.286
570;0.2977
590;0.3092
610;0.3206
630;0.3319
650;0.3431
670;0.3542
690;0.3654
710;0.3764
730;0.3874
750;0.3985
770;0.4094
790;0.4205
810;0.4315
830;0.4424
850;0.4533
870;0.4641
890;0.4749
910;0.4857
930;0.4967
950;0.5051
970;0.5082
990;0.5002
1000;0.489
