Wavelength (nm);Responsivity (A/W)
663.53887;0.36168
674.26273;0.36835
684.9866;0.37501
695.71046;0.38085
706.43432;0.38751
717.15818;0.39335
727.88204;0.40001
738.6059;0.40585
749.32976;0.41251
760.05362;0.41835
770.77748;0.42418
781.50134;0.43001
792.2252;0.43585
802.94906;0.44168
813.67292;0.44751
824.39678;0.45251
835.12064;0.45835
845.8445;0.46335
856.56836;0.46835
867.29223;0.47335
878.01609;0.47835
888.73995;0.48251
899.46381;0.48585
905.89812;0.48918
916.62198;0.49251
927.34584;0.49585
941.28686;0.49835
952.01072;0.49918
962.73458;0.49751
967.02413;0.49501
976.6756;0.48835
984.18231;0.48001
990.61662;0.47168
994.90617;0.46335
998.12332;0.45668
1002.41287;0.44835
1006.70241;0.43751
1008.84718;0.42918
1012.06434;0.42085
1015.2815;0.41251
1017.42627;0.40418
1019.57105;0.39585
1021.71582;0.38751
1023.86059;0.37918
1024.93298;0.37085
1027.07775;0.36251
1029.22252;0.35418
1031.36729;0.34585
1033.51206;0.33751
1034.58445;0.32918
1036.72922;0.32085
1038.87399;0.31251
1041.01877;0.30418
1044.23592;0.29501
1046.3807;0.28668
1048.52547;0.27835
1050.67024;0.27001
1052.81501;0.26168
1054.95979;0.25335
1056.03217;0.24501
1058.17694;0.23668
1060.32172;0.22835
1061.3941;0.22001
1063.53887;0.21168
1065.68365;0.20335
1067.82842;0.19501
1071.04558;0.18668
1073.19035;0.17835
1076.40751;0.17001
1079.62466;0.16168
1084.9866;0.15335
1093.56568;0.14501
