species,synonyms
cfc11,cfc-11|f11|f-11
cfc12,cfc-12|f12|f-12
cfc113,cfc-113|f113|f-113
ch3ccl3,mcf
ccl4,
ch4,methane
n2o,
co2,
sf6,
co,
c2h2,ethyne
c2h4,ethene
c2h6,ethane
hfc23,hfc-23|chf3
hfc125,hfc-125
hfc134a,hfc-134a
hfc143a,hfc-143a
hfc152a,hfc-152a
hfc227ea,hfc-227ea
hfc245fa,hfc-245fa
hfc32,hfc-32
hfc365mfc,hfc-365mfc
hfc4310mee,hfc-4310mee
hcfc22,hcfc-22|chclf2
hcfc141b,hcfc-141b|ch3ccl2
hcfc142b,hcfc-142b|ch3cclf
hcfc123,hcfc-123|chcl2cf3
cf4,pfc-14|pfc14
c2f6,pfc-116|pfc116
c3f8,pfc-218|pfc218
c4f8,pfc-318|pfc318
nf3,
so2f2,
