data_size, chunk_size, N, K, chosen_nodes
180.500000, 90.250000, 3, 2, 1 0 3 
124.099998, 62.049999, 3, 2, 1 0 3 
10.300000, 5.150000, 3, 2, 1 0 3 
7.000000, 3.500000, 3, 2, 1 0 3 
3.400000, 1.700000, 3, 2, 1 0 3 
1.900000, 0.950000, 3, 2, 1 0 3 
4.100000, 2.050000, 3, 2, 1 0 3 
2.900000, 1.450000, 3, 2, 1 0 3 
3.700000, 1.850000, 3, 2, 1 0 3 
191.800003, 95.900002, 3, 2, 1 0 3 
158.300003, 79.150002, 3, 2, 1 0 3 
2.200000, 1.100000, 3, 2, 1 0 3 
165.899994, 82.949997, 3, 2, 1 0 3 
192.600006, 96.300003, 3, 2, 1 0 3 
856.099976, 428.049988, 3, 2, 1 0 3 
71.400002, 35.700001, 3, 2, 1 0 3 
65.300003, 32.650002, 3, 2, 1 0 3 
56.099998, 28.049999, 3, 2, 1 0 3 
107.400002, 53.700001, 3, 2, 1 0 3 
115.500000, 57.750000, 3, 2, 1 0 3 
123.300003, 61.650002, 3, 2, 1 0 3 
9.400000, 4.700000, 3, 2, 1 0 3 
92.199997, 46.099998, 3, 2, 1 0 3 
124.000000, 62.000000, 3, 2, 1 0 3 
203.500000, 101.750000, 3, 2, 1 0 3 
110.900002, 55.450001, 3, 2, 1 0 3 
124.599998, 62.299999, 3, 2, 1 0 3 
187.199997, 93.599998, 3, 2, 1 0 3 
75.099998, 37.549999, 3, 2, 1 0 3 
153.399994, 76.699997, 3, 2, 1 0 3 
2.200000, 1.100000, 3, 2, 1 0 3 
157.899994, 78.949997, 3, 2, 1 0 3 
113.500000, 56.750000, 3, 2, 1 0 3 
74.199997, 37.099998, 3, 2, 1 0 3 
72.199997, 36.099998, 3, 2, 1 0 3 
6.600000, 3.300000, 3, 2, 1 0 3 
15.900000, 7.950000, 3, 2, 1 0 3 
16.100000, 8.050000, 3, 2, 1 0 3 
10.300000, 5.150000, 3, 2, 1 0 3 
10.600000, 5.300000, 3, 2, 1 0 3 
13.600000, 6.800000, 3, 2, 1 0 3 
517.799988, 258.899994, 3, 2, 1 0 3 
447.700012, 223.850006, 3, 2, 1 0 3 
112.500000, 56.250000, 3, 2, 1 0 3 
532.099976, 266.049988, 3, 2, 1 0 3 
56.700001, 28.350000, 3, 2, 1 0 3 
57.000000, 28.500000, 3, 2, 1 0 3 
57.599998, 28.799999, 3, 2, 1 0 3 
117.699997, 58.849998, 3, 2, 1 0 3 
136.800003, 68.400002, 3, 2, 1 0 3 
149.000000, 74.500000, 3, 2, 1 0 3 
112.199997, 56.099998, 3, 2, 1 0 3 
1.700000, 0.850000, 3, 2, 1 0 3 
86.500000, 43.250000, 3, 2, 1 0 3 
89.000000, 44.500000, 3, 2, 1 0 3 
26.500000, 13.250000, 3, 2, 1 0 3 
8.600000, 4.300000, 3, 2, 1 0 3 
4.000000, 2.000000, 3, 2, 1 0 3 
160.000000, 80.000000, 3, 2, 1 0 3 
7.500000, 3.750000, 3, 2, 1 0 3 
6.500000, 3.250000, 3, 2, 1 0 3 
6.300000, 3.150000, 3, 2, 1 0 3 
154.600006, 77.300003, 3, 2, 1 0 3 
