data_size, chunk_size, N, K, chosen_nodes
180.500000, 90.250000, 4, 2, 1 6 7 9 
124.099998, 62.049999, 4, 2, 1 6 7 9 
10.300000, 5.150000, 4, 2, 1 6 7 9 
7.000000, 3.500000, 4, 2, 1 6 7 9 
3.400000, 1.700000, 4, 2, 1 6 7 9 
1.900000, 0.950000, 4, 2, 1 6 7 9 
4.100000, 2.050000, 4, 2, 1 6 7 9 
2.900000, 1.450000, 4, 2, 1 6 7 9 
3.700000, 1.850000, 4, 2, 1 6 7 9 
191.800003, 95.900002, 4, 2, 1 6 7 9 
158.300003, 79.150002, 4, 2, 1 6 7 9 
2.200000, 1.100000, 4, 2, 1 6 7 9 
165.899994, 82.949997, 4, 2, 1 6 7 9 
192.600006, 96.300003, 4, 2, 1 6 7 9 
856.099976, 428.049988, 4, 2, 1 6 7 9 
71.400002, 35.700001, 4, 2, 1 6 7 9 
65.300003, 32.650002, 4, 2, 1 6 7 9 
56.099998, 28.049999, 4, 2, 1 6 7 9 
107.400002, 53.700001, 4, 2, 1 6 7 9 
115.500000, 57.750000, 4, 2, 1 6 7 9 
123.300003, 61.650002, 4, 2, 1 6 7 9 
9.400000, 4.700000, 4, 2, 1 6 7 9 
92.199997, 46.099998, 4, 2, 1 6 7 9 
124.000000, 62.000000, 4, 2, 1 6 7 9 
203.500000, 101.750000, 4, 2, 1 6 7 9 
110.900002, 55.450001, 4, 2, 1 6 7 9 
124.599998, 62.299999, 4, 2, 1 6 7 9 
187.199997, 93.599998, 4, 2, 1 6 7 9 
75.099998, 37.549999, 4, 2, 1 6 7 9 
153.399994, 76.699997, 4, 2, 1 6 7 9 
2.200000, 1.100000, 4, 2, 1 6 7 9 
157.899994, 78.949997, 4, 2, 1 6 7 9 
113.500000, 56.750000, 4, 2, 1 6 7 9 
74.199997, 37.099998, 4, 2, 1 6 7 9 
72.199997, 36.099998, 4, 2, 1 6 7 9 
6.600000, 3.300000, 4, 2, 1 6 7 9 
