data_size, chunk_size, N, K, chosen_nodes
180.500000, 22.562500, 9, 8, 7 9 6 8 2 0 3 1 4 
124.099998, 15.512500, 9, 8, 7 9 6 8 2 0 3 1 4 
10.300000, 1.287500, 9, 8, 7 9 6 8 2 0 3 1 4 
7.000000, 0.875000, 9, 8, 7 9 6 8 2 0 3 1 4 
3.400000, 0.425000, 9, 8, 7 9 6 8 2 0 3 1 4 
1.900000, 0.237500, 9, 8, 7 9 6 8 2 0 3 1 4 
4.100000, 0.512500, 9, 8, 7 9 6 8 2 0 3 1 4 
2.900000, 0.362500, 9, 8, 7 9 6 8 2 0 3 1 4 
3.700000, 0.462500, 9, 8, 7 9 6 8 2 0 3 1 4 
191.800003, 23.975000, 9, 8, 7 9 6 8 2 0 3 1 4 
158.300003, 19.787500, 9, 8, 7 9 6 8 2 0 3 1 4 
2.200000, 0.275000, 9, 8, 7 9 6 8 2 0 3 1 4 
165.899994, 20.737499, 9, 8, 7 9 6 8 2 0 3 1 4 
192.600006, 24.075001, 9, 8, 7 9 6 8 2 0 3 1 4 
856.099976, 107.012497, 9, 8, 7 9 6 8 2 0 3 1 4 
71.400002, 8.925000, 9, 8, 7 9 6 8 2 0 3 1 4 
65.300003, 8.162500, 9, 8, 7 9 6 8 2 0 3 1 4 
56.099998, 7.012500, 9, 8, 7 9 6 8 2 0 3 1 4 
107.400002, 13.425000, 9, 8, 7 9 6 8 2 0 3 1 4 
115.500000, 14.437500, 9, 8, 7 9 6 8 2 0 3 1 4 
123.300003, 15.412500, 9, 8, 7 9 6 8 2 0 3 1 4 
9.400000, 1.175000, 9, 8, 7 9 6 8 2 0 3 1 4 
92.199997, 11.525000, 9, 8, 7 9 6 8 2 0 3 1 4 
124.000000, 15.500000, 9, 8, 7 9 6 8 2 0 3 1 4 
203.500000, 25.437500, 9, 8, 7 9 6 8 2 0 3 1 4 
110.900002, 13.862500, 9, 8, 7 9 6 8 2 0 3 1 4 
124.599998, 15.575000, 9, 8, 7 9 6 8 2 0 3 1 4 
187.199997, 23.400000, 9, 8, 7 9 6 8 2 0 3 1 4 
75.099998, 9.387500, 9, 8, 7 9 6 8 2 0 3 1 4 
153.399994, 19.174999, 9, 8, 7 9 6 8 2 0 3 1 4 
2.200000, 0.275000, 9, 8, 7 9 6 8 2 0 3 1 4 
157.899994, 19.737499, 9, 8, 7 9 6 8 2 0 3 1 4 
113.500000, 14.187500, 9, 8, 7 9 6 8 2 0 3 1 4 
74.199997, 9.275000, 9, 8, 7 9 6 8 2 0 3 1 4 
72.199997, 9.025000, 9, 8, 7 9 6 8 2 0 3 1 4 
6.600000, 0.825000, 9, 8, 7 9 6 8 2 0 3 1 4 
15.900000, 1.987500, 9, 8, 7 9 6 8 2 0 3 1 4 
16.100000, 2.012500, 9, 8, 7 9 6 8 2 0 3 1 4 
10.300000, 1.287500, 9, 8, 7 9 6 8 2 0 3 1 4 
10.600000, 1.325000, 9, 8, 7 9 6 8 2 0 3 1 4 
13.600000, 1.700000, 9, 8, 7 9 6 8 2 0 3 1 4 
517.799988, 64.724998, 9, 8, 7 9 6 8 2 0 3 1 4 
447.700012, 55.962502, 9, 8, 7 9 6 8 2 0 3 1 4 
112.500000, 14.062500, 9, 8, 7 9 6 8 2 0 3 1 4 
532.099976, 66.512497, 9, 8, 7 9 6 8 2 0 3 1 4 
56.700001, 7.087500, 9, 8, 7 9 6 8 2 0 3 1 4 
57.000000, 7.125000, 9, 8, 7 9 6 8 2 0 3 1 4 
57.599998, 7.200000, 9, 8, 7 9 6 8 2 0 3 1 4 
117.699997, 14.712500, 9, 8, 7 9 6 8 2 0 3 1 4 
136.800003, 17.100000, 9, 8, 7 9 6 8 2 0 3 1 4 
149.000000, 18.625000, 9, 8, 7 9 6 8 2 0 3 1 4 
112.199997, 14.025000, 9, 8, 7 9 6 8 2 0 3 1 4 
1.700000, 0.212500, 9, 8, 7 9 6 8 2 0 3 1 4 
86.500000, 10.812500, 9, 8, 7 9 6 8 2 0 3 1 4 
89.000000, 11.125000, 9, 8, 7 9 6 8 2 0 3 1 4 
26.500000, 3.312500, 9, 8, 7 9 6 8 2 0 3 1 4 
8.600000, 1.075000, 9, 8, 7 9 6 8 2 0 3 1 4 
4.000000, 0.500000, 9, 8, 7 9 6 8 2 0 3 1 4 
160.000000, 20.000000, 9, 8, 7 9 6 8 2 0 3 1 4 
7.500000, 0.937500, 9, 8, 7 9 6 8 2 0 3 1 4 
6.500000, 0.812500, 9, 8, 7 9 6 8 2 0 3 1 4 
6.300000, 0.787500, 9, 8, 7 9 6 8 2 0 3 1 4 
154.600006, 19.325001, 9, 8, 7 9 6 8 2 0 3 1 4 
74.099998, 9.262500, 9, 8, 7 9 6 8 2 0 3 1 4 
2.200000, 0.275000, 9, 8, 7 9 6 8 2 0 3 1 4 
152.899994, 19.112499, 9, 8, 7 9 6 8 2 0 3 1 4 
72.300003, 9.037500, 9, 8, 7 9 6 8 2 0 3 1 4 
190.000000, 23.750000, 9, 8, 7 9 6 8 2 0 3 1 4 
123.199997, 15.400000, 9, 8, 7 9 6 8 2 0 3 1 4 
214.699997, 26.837500, 9, 8, 7 9 6 8 2 0 3 1 4 
13.100000, 1.637500, 9, 8, 7 9 6 8 2 0 3 1 4 
2.000000, 0.250000, 9, 8, 7 9 6 8 2 0 3 1 4 
186.000000, 23.250000, 9, 8, 7 9 6 8 2 0 3 1 4 
119.900002, 14.987500, 9, 8, 7 9 6 8 2 0 3 1 4 
123.300003, 15.412500, 9, 8, 7 9 6 8 2 0 3 1 4 
51.200001, 6.400000, 9, 8, 7 9 6 8 2 0 3 1 4 
73.099998, 9.137500, 9, 8, 7 9 6 8 2 0 3 1 4 
7.600000, 0.950000, 9, 8, 7 9 6 8 2 0 3 1 4 
63.900002, 7.987500, 9, 8, 7 9 6 8 2 0 3 1 4 
1.800000, 0.225000, 9, 8, 7 9 6 8 2 0 3 1 4 
85.300003, 10.662500, 9, 8, 7 9 6 8 2 0 3 1 4 
118.500000, 14.812500, 9, 8, 7 9 6 8 2 0 3 1 4 
164.399994, 20.549999, 9, 8, 7 9 6 8 2 0 3 1 4 
2.300000, 0.287500, 9, 8, 7 9 6 8 2 0 3 1 4 
160.300003, 20.037500, 9, 8, 7 9 6 8 2 0 3 1 4 
71.000000, 8.875000, 9, 8, 7 9 6 8 2 0 3 1 4 
191.399994, 23.924999, 9, 8, 7 9 6 8 2 0 3 1 4 
124.199997, 15.525000, 9, 8, 7 9 6 8 2 0 3 1 4 
214.600006, 26.825001, 9, 8, 7 9 6 8 2 0 3 1 4 
122.099998, 15.262500, 9, 8, 7 9 6 8 2 0 3 1 4 
2.100000, 0.262500, 9, 8, 7 9 6 8 2 0 3 1 4 
193.399994, 24.174999, 9, 8, 7 9 6 8 2 0 3 1 4 
121.599998, 15.200000, 9, 8, 7 9 6 8 2 0 3 1 4 
199.199997, 24.900000, 9, 8, 7 9 6 8 2 0 3 1 4 
70.199997, 8.775000, 9, 8, 7 9 6 8 2 0 3 1 4 
51.400002, 6.425000, 9, 8, 7 9 6 8 2 0 3 1 4 
