# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.618E+03
1.021E-03 4.611E+03
1.042E-03 4.603E+03
1.042E-03 4.603E+03
1.500E-03 4.422E+03
2.000E-03 4.201E+03
2.787E-03 3.852E+03
2.787E-03 3.852E+03
2.847E-03 3.826E+03
2.909E-03 3.799E+03
2.909E-03 3.799E+03
3.000E-03 3.759E+03
3.426E-03 3.585E+03
3.426E-03 3.585E+03
4.000E-03 3.362E+03
4.008E-03 3.359E+03
4.008E-03 3.359E+03
4.160E-03 3.304E+03
4.317E-03 3.248E+03
4.317E-03 3.248E+03
5.000E-03 3.015E+03
6.000E-03 2.713E+03
8.000E-03 2.220E+03
1.000E-02 1.847E+03
1.421E-02 1.311E+03
1.421E-02 1.311E+03
1.500E-02 1.236E+03
1.678E-02 1.088E+03
1.678E-02 1.088E+03
1.714E-02 1.061E+03
1.749E-02 1.034E+03
1.749E-02 1.034E+03
2.000E-02 8.785E+02
3.000E-02 5.168E+02
4.000E-02 3.464E+02
5.000E-02 2.475E+02
6.000E-02 1.854E+02
8.000E-02 1.164E+02
9.573E-02 8.671E+01
9.573E-02 8.671E+01
1.000E-01 8.060E+01
1.500E-01 3.990E+01
2.000E-01 2.383E+01
3.000E-01 1.139E+01
4.000E-01 6.672E+00
5.000E-01 4.375E+00
6.000E-01 3.087E+00
8.000E-01 1.772E+00
1.000E+00 1.148E+00
1.022E+00 1.100E+00
1.250E+00 7.414E-01
1.500E+00 5.178E-01
2.000E+00 2.932E-01
2.044E+00 2.808E-01
3.000E+00 1.310E-01
4.000E+00 7.386E-02
5.000E+00 4.732E-02
6.000E+00 3.288E-02
7.000E+00 2.416E-02
8.000E+00 1.850E-02
9.000E+00 1.462E-02
1.000E+01 1.185E-02
