# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.774E+03
1.035E-03 1.768E+03
1.072E-03 1.761E+03
1.072E-03 1.761E+03
1.500E-03 1.677E+03
2.000E-03 1.569E+03
3.000E-03 1.362E+03
4.000E-03 1.186E+03
4.557E-03 1.102E+03
4.557E-03 1.102E+03
4.702E-03 1.082E+03
4.852E-03 1.061E+03
4.852E-03 1.061E+03
5.000E-03 1.041E+03
5.188E-03 1.016E+03
5.188E-03 1.016E+03
6.000E-03 9.180E+02
8.000E-03 7.262E+02
1.000E-02 5.897E+02
1.500E-02 3.884E+02
2.000E-02 2.765E+02
3.000E-02 1.571E+02
3.317E-02 1.355E+02
3.317E-02 1.355E+02
4.000E-02 1.024E+02
5.000E-02 7.274E+01
6.000E-02 5.430E+01
8.000E-02 3.339E+01
1.000E-01 2.262E+01
1.500E-01 1.100E+01
2.000E-01 6.505E+00
3.000E-01 3.035E+00
4.000E-01 1.748E+00
5.000E-01 1.134E+00
6.000E-01 7.946E-01
8.000E-01 4.516E-01
1.000E+00 2.906E-01
1.022E+00 2.784E-01
1.250E+00 1.867E-01
1.500E+00 1.299E-01
2.000E+00 7.326E-02
2.044E+00 7.015E-02
3.000E+00 3.261E-02
4.000E+00 1.836E-02
5.000E+00 1.175E-02
6.000E+00 8.162E-03
7.000E+00 5.997E-03
8.000E+00 4.592E-03
9.000E+00 3.628E-03
1.000E+01 2.939E-03
