n	k	avg_time
3 2 130142.712890625
4 2 135196.576904297
4 3 101023.424072266
5 2 136954.730957031
5 3 98800.310546875
5 4 81432.2788085938
6 2 134667.710449219
6 3 99314.6923828125
6 4 87225.982421875
6 5 76445.5888671875
7 2 142145.068847656
7 3 104044.017089844
7 4 77406.7761230469
7 5 60918.3627929688
7 6 54417.2980957031
8 2 121465.606689453
8 3 90260.3786621094
8 4 78523.4814453125
8 5 70136.6479492188
8 6 59573.2587890625
8 7 59654.3342285156
9 2 122486.408447266
9 3 92589.1110839844
9 4 79278.0952148438
9 5 63204.1159667969
9 6 63219.0573730469
9 7 57305.7275390625
9 8 51679.6052246094
10 2 129938.364746094
10 3 107775.957519531
10 4 94569.9404296875
10 5 83477.5864257813
10 6 77647.6166992188
10 7 77010.1105957031
10 8 67685.380859375
10 9 49781.3078613281
11 2 121941.793212891
11 3 105540.751220703
11 4 89739.7885742188
11 5 76712.3024902344
11 6 73441.54296875
11 7 67554.9643554688
11 8 69933.9384765625
11 9 75125.4155273438
11 10 67418.4382324219
12 2 136922.677734375
12 3 105393.514160156
12 4 84583.5881347656
12 5 76326.4296875
12 6 72373.0317382813
12 7 62037.68359375
12 8 63611.0979003906
12 9 62130.5480957031
12 10 58484.1594238281
12 11 52254.787109375
13 2 141040.194091797
13 3 109520.255126953
13 4 92859.5310058594
13 5 78989.0327148438
13 6 71713.0144042969
13 7 71986.5114746094
13 8 68745.3115234375
13 9 68196.8820800781
13 10 66858.7458496094
13 11 58851.7170410156
13 12 57348.8603515625
14 2 134644.632080078
14 3 105689.826904297
14 4 86989.2836914063
14 5 77354.5732421875
14 6 71342.9885253906
14 7 64456.0598144531
14 8 65346.0693359375
14 9 60526.498046875
14 10 62291.5390625
14 11 58391.6684570313
14 12 59275.0341796875
14 13 55442.9204101563
15 2 135350.726074219
15 3 103296.137695313
15 4 89311.7502441406
15 5 78927.0046386719
15 6 70821.5927734375
15 7 70602.0502929688
15 8 62544.5263671875
15 9 57852.62109375
15 10 63642.427734375
15 11 65173.5715332031
15 12 64119.4274902344
15 13 63899.9323730469
15 14 56949.3344726563
16 2 134747.8203125
16 3 103396.966796875
16 4 85012.3068847656
16 5 75995.4538574219
16 6 72156.2543945313
16 7 67615.5949707031
16 8 65214.4763183594
16 9 66043.3181152344
16 10 56607.2373046875
16 11 55289.7863769531
16 12 50957.6005859375
16 13 49250.6301269531
16 14 52188.1428222656
16 15 42864.5959472656
17 2 133329.841796875
17 3 100985.594482422
17 4 88380.7099609375
17 5 75189.1242675781
17 6 72571.4267578125
17 7 72032.2856445313
17 8 66601.2302246094
17 9 61221.1083984375
17 10 60258.0180664063
17 11 52648.7468261719
17 12 52681.9067382813
17 13 53325.1875
17 14 52692.3115234375
17 15 51641.1232910156
17 16 65404.7724609375
18 2 138179.464355469
18 3 97766.8078613281
18 4 91470.2648925781
18 5 78990.3100585938
18 6 65768.1862792969
18 7 57539.98828125
18 8 66365.6604003906
18 9 60082.8771972656
18 10 56640.7001953125
18 11 44185.1135253906
18 12 45746.1164550781
18 13 47689.9177246094
18 14 45393.0834960938
18 15 49225.3811035156
18 16 57791.6040039063
18 17 43733.5493164063
19 2 126948.837646484
19 3 101901.645019531
19 4 83951.1059570313
19 5 77828.3232421875
19 6 71005.5725097656
19 7 66510.9538574219
19 8 59893.05078125
19 9 60441.2900390625
19 10 60043.9624023438
19 11 56504.6242675781
19 12 59287.5366210938
19 13 46018.5178222656
19 14 56500.5148925781
19 15 63181.4338378906
19 16 71914.4809570313
19 17 41987.5251464844
19 18 43448.0532226563
20 2 128079.534667969
20 3 98094.9372558594
20 4 82642.6059570313
20 5 70454.6337890625
20 6 64794.2893066406
20 7 64128.9340820313
20 8 55273.9912109375
20 9 50230.3947753906
20 10 55595.1528320313
20 11 47338.3615722656
20 12 50038.8283691406
20 13 51013.9108886719
20 14 48254.0534667969
20 15 41670.2763671875
20 16 62218.673828125
20 17 41816.7075195313
20 18 39962.1948242188
20 19 48753.7907714844
