n	k	avg_time
3 2 78521.65698242188
4 2 78054.375
4 3 59080.21875
5 2 78783.61865234375
5 3 59398.267578125
5 4 51381.5009765625
6 2 77859.14526367188
6 3 59562.343017578125
6 4 51730.42456054688
6 5 52395.14208984375
7 2 78936.0283203125
7 3 59886.99658203125
7 4 51420.13549804688
7 5 52652.830078125
7 6 47696.62963867188
8 2 78058.3896484375
8 3 59787.728759765625
8 4 51771.884033203125
8 5 52738.0810546875
8 6 47349.84765625
8 7 42523.48852539063
9 2 77889.9921875
9 3 59711.98876953125
9 4 52047.80493164063
9 5 52522.44873046875
9 6 47045.69946289063
9 7 43247.217041015625
9 8 40302.341552734375
10 2 79161.23364257812
10 3 60001.554443359375
10 4 51397.30737304688
10 5 52694.49609375
10 6 47422.787109375
10 7 43604.626220703125
10 8 40553.929443359375
10 9 37978.1865234375
11 2 78100.7861328125
11 3 59230.94018554688
11 4 51598.4150390625
11 5 52605.386474609375
11 6 47611.755859375
11 7 42802.78271484375
11 8 40018.75830078125
11 9 37916.751953125
11 10 36929.70703125
12 2 78707.5380859375
12 3 59493.23583984375
12 4 51285.259765625
12 5 52756.19482421875
12 6 47155.889892578125
12 7 43062.548095703125
12 8 39717.10620117188
12 9 38209.49682617188
12 10 36597.14501953125
12 11 35343.359375
13 2 77899.62670898438
13 3 59642.361572265625
13 4 51682.052734375
13 5 54334.2490234375
13 6 47795.521240234375
13 7 43817.48681640625
13 8 40725.98706054688
13 9 38451.48193359375
13 10 37345.776611328125
13 11 35330.12353515625
13 12 35702.7373046875
14 2 79705.92114257812
14 3 61001.26635742188
14 4 53473.323974609375
14 5 54778.43896484375
14 6 49405.7119140625
14 7 44977.56323242188
14 8 41607.683349609375
14 9 39439.90576171875
14 10 38310.64868164063
14 11 37158.19799804688
14 12 36998.6875
14 13 34404.023681640625
15 2 81821.916015625
15 3 61921.694580078125
15 4 53977.49243164063
15 5 55670.9541015625
15 6 50302.9638671875
15 7 45148.542724609375
15 8 42262.05419921875
15 9 39597.135009765625
15 10 38265.565673828125
15 11 36736.58203125
15 12 37076.75048828125
15 13 34282.18310546875
15 14 34434.15673828125
16 2 82878.47802734375
16 3 63151.781005859375
16 4 55832.34643554688
16 5 57662.28369140625
16 6 51661.56982421875
16 7 46435.58154296875
16 8 42372.779296875
16 9 40025.725830078125
16 10 38626.72509765625
16 11 37030.276611328125
16 12 37162.00024414063
16 13 34745.89697265625
16 14 34708.488525390625
16 15 34641.94140625
17 2 84151.39331054688
17 3 63136.05517578125
17 4 54675.48876953125
17 5 56429.925048828125
17 6 50520.908447265625
17 7 46261.9111328125
17 8 42907.01953125
17 9 40094.45556640625
17 10 38640.665283203125
17 11 36811.42822265625
17 12 37890.91845703125
17 13 35123.47314453125
17 14 34850.24462890625
17 15 35614.171630859375
17 16 43523.4189453125
18 2 84039.60424804688
18 3 64691.01123046875
18 4 55405.16552734375
18 5 56816.14453125
18 6 51061.4912109375
18 7 46948.9892578125
18 8 42791.40307617188
18 9 40641.7607421875
18 10 39138.662109375
18 11 37786.94189453125
18 12 38104.468505859375
18 13 34983.97705078125
18 14 34964.30029296875
18 15 34976.34033203125
18 16 43999.20727539063
18 17 33978.50439453125
19 2 85632.31665039062
19 3 64677.72924804688
19 4 55723.81982421875
19 5 57762.978759765625
19 6 50938.280517578125
19 7 46119.45751953125
19 8 43200.809814453125
19 9 40379.1904296875
19 10 39158.03271484375
19 11 38230.685302734375
19 12 37429.195068359375
19 13 35029.075927734375
19 14 34937.980712890625
19 15 35094.8125
19 16 43732.1474609375
19 17 33745.139404296875
19 18 33852.52685546875
20 2 85031.79077148438
20 3 64489.764892578125
20 4 56578.37939453125
20 5 58199.705322265625
20 6 51725.04345703125
20 7 46236.66650390625
20 8 43149.625
20 9 40706.19995117188
20 10 39321.38549804688
20 11 37439.73291015625
20 12 37628.044921875
20 13 35364.602783203125
20 14 35623.660888671875
20 15 35643.800048828125
20 16 43639.06884765625
20 17 34041.63037109375
20 18 34687.770263671875
20 19 34617.140380859375
