n k avg_time
3 2 322491.755746108
4 2 297065.21930263
4 3 258764.679466744
5 2 324714.501108417
5 3 229611.625029437
5 4 174327.656969541
6 2 313715.449404681
6 3 236317.17086327
6 4 212775.915940405
6 5 184831.976958371
7 2 352160.252531953
7 3 230099.234779843
7 4 173651.904793486
7 5 138191.434069091
7 6 118486.392862195
8 2 300759.340265892
8 3 191442.243444887
8 4 193766.103947933
8 5 172898.837082062
8 6 149707.727945455
8 7 144618.878254819
9 2 265341.003278055
9 3 206232.643843265
9 4 172488.940865732
9 5 152182.533833374
9 6 161402.059073594
9 7 131807.45022394
9 8 123435.146561597
10 2 298863.780323435
10 3 269851.322192509
10 4 236256.166289819
10 5 192968.543797043
10 6 193596.24036926
10 7 185978.566466642
10 8 161517.821609729
10 9 117272.734243433
11 2 279607.511896432
11 3 266165.171776843
11 4 209038.402601158
11 5 183222.482157256
11 6 187699.267562302
11 7 152453.33193001
11 8 165451.049176542
11 9 170190.709428856
11 10 168716.493839819
12 2 319058.455388731
12 3 223591.853303942
12 4 196330.741813447
12 5 160741.266337292
12 6 184015.815489867
12 7 136134.206101438
12 8 157716.111583348
12 9 139689.107838395
12 10 129898.946797965
12 11 116228.885536185
13 2 298985.712598108
13 3 250086.039153096
13 4 207245.756922677
13 5 193148.5563054
13 6 183395.963583382
13 7 177511.388432254
13 8 152856.830380603
13 9 152311.675363221
13 10 145801.38308355
13 11 133865.560614614
13 12 145075.373520036
14 2 294683.044147255
14 3 232371.600992817
14 4 218041.874374862
14 5 178196.298756501
14 6 155451.4305902
14 7 161863.392270684
14 8 160991.996425197
14 9 130739.435714337
14 10 148982.021787066
14 11 148073.140235687
14 12 146402.532479623
14 13 136704.942440184
15 2 300278.325578927
15 3 250821.680414528
15 4 193896.345105374
15 5 191169.748546108
15 6 179309.078666165
15 7 153998.614259005
15 8 145913.023984764
15 9 142746.416185609
15 10 135236.105457964
15 11 149865.221950408
15 12 154162.534771253
15 13 137790.501320962
15 14 144113.395978103
16 2 331835.565127845
16 3 243937.339505161
16 4 179541.376667452
16 5 160122.797361466
16 6 179450.534746487
16 7 168881.824461817
16 8 143590.389588933
16 9 148864.187692585
16 10 120774.693176461
16 11 131584.150085231
16 12 114590.358699155
16 13 115271.331274351
16 14 118218.42129768
16 15 99424.7327167543
17 2 289020.53972173
17 3 235610.045963999
17 4 224800.170898621
17 5 186594.477918804
17 6 157385.352303941
17 7 180025.976408367
17 8 165780.725250448
17 9 138172.688570321
17 10 149059.262399068
17 11 128458.148594694
17 12 125243.387155477
17 13 112225.347222664
17 14 118157.680939588
17 15 116725.354204311
17 16 151023.38411044
18 2 303360.387436175
18 3 231408.188413498
18 4 212551.306129758
18 5 177187.664242532
18 6 156709.256687959
18 7 123849.079392497
18 8 142704.153633845
18 9 141166.744277605
18 10 137734.64875714
18 11 100066.64465259
18 12 109810.700163009
18 13 105571.884883012
18 14 109680.279671451
18 15 105672.540557165
18 16 125462.949239799
18 17 109183.5768881
19 2 298079.111913094
19 3 259558.59020348
19 4 184340.496034866
19 5 195720.666066581
19 6 177330.529670605
19 7 141497.087775707
19 8 137297.415724826
19 9 136742.531589159
19 10 143531.131146406
19 11 137624.996894333
19 12 147345.976436942
19 13 110229.579760156
19 14 140582.270572706
19 15 135216.053219642
19 16 184297.0799383
19 17 101936.994734563
19 18 96722.4917687913
20 2 315093.050181167
20 3 214718.602402754
20 4 180885.63184965
20 5 164306.458041814
20 6 142668.440571418
20 7 137432.918509924
20 8 136705.779755065
20 9 116316.884007964
20 10 122025.97584728
20 11 119709.693289204
20 12 128093.634660201
20 13 128797.799527301
20 14 119069.128919934
20 15 99319.8876490467
20 16 152672.19994982
20 17 95264.7297452785
20 18 94643.4188004506
20 19 116000.597824648
