# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 8.207E+02
1.500E-03 7.766E+02
1.675E-03 7.589E+02
1.675E-03 7.589E+02
1.701E-03 7.562E+02
1.727E-03 7.535E+02
1.727E-03 7.535E+02
1.822E-03 7.442E+02
1.921E-03 7.343E+02
1.921E-03 7.343E+02
2.000E-03 7.260E+02
3.000E-03 6.253E+02
4.000E-03 5.399E+02
5.000E-03 4.712E+02
6.000E-03 4.150E+02
8.000E-03 3.273E+02
1.000E-02 2.615E+02
1.433E-02 1.694E+02
1.433E-02 1.694E+02
1.500E-02 1.597E+02
2.000E-02 1.087E+02
3.000E-02 6.154E+01
4.000E-02 3.947E+01
5.000E-02 2.732E+01
6.000E-02 2.006E+01
8.000E-02 1.224E+01
1.000E-01 8.281E+00
1.500E-01 3.975E+00
2.000E-01 2.319E+00
3.000E-01 1.068E+00
4.000E-01 6.111E-01
5.000E-01 3.949E-01
6.000E-01 2.758E-01
8.000E-01 1.561E-01
1.000E+00 1.002E-01
1.022E+00 9.596E-02
1.250E+00 6.426E-02
1.500E+00 4.467E-02
2.000E+00 2.516E-02
2.044E+00 2.409E-02
3.000E+00 1.119E-02
4.000E+00 6.296E-03
5.000E+00 4.030E-03
6.000E+00 2.799E-03
7.000E+00 2.056E-03
8.000E+00 1.574E-03
9.000E+00 1.244E-03
1.000E+01 1.008E-03
