# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.694E+03
1.500E-03 3.542E+03
1.960E-03 3.385E+03
1.960E-03 3.385E+03
2.000E-03 3.371E+03
2.031E-03 3.360E+03
2.031E-03 3.360E+03
2.234E-03 3.290E+03
2.457E-03 3.213E+03
2.457E-03 3.213E+03
2.619E-03 3.156E+03
2.792E-03 3.095E+03
2.792E-03 3.095E+03
3.000E-03 3.023E+03
3.048E-03 3.006E+03
3.048E-03 3.006E+03
4.000E-03 2.700E+03
5.000E-03 2.413E+03
6.000E-03 2.162E+03
8.000E-03 1.755E+03
1.000E-02 1.446E+03
1.087E-02 1.335E+03
1.087E-02 1.335E+03
1.160E-02 1.251E+03
1.239E-02 1.168E+03
1.239E-02 1.168E+03
1.267E-02 1.138E+03
1.297E-02 1.109E+03
1.297E-02 1.109E+03
1.500E-02 9.427E+02
2.000E-02 6.645E+02
3.000E-02 3.928E+02
4.000E-02 2.599E+02
5.000E-02 1.840E+02
6.000E-02 1.377E+02
7.387E-02 9.867E+01
7.387E-02 9.867E+01
8.000E-02 8.658E+01
1.000E-01 5.956E+01
1.500E-01 2.919E+01
2.000E-01 1.739E+01
3.000E-01 8.271E+00
4.000E-01 4.817E+00
5.000E-01 3.146E+00
6.000E-01 2.214E+00
8.000E-01 1.267E+00
1.000E+00 8.186E-01
1.022E+00 7.843E-01
1.250E+00 5.278E-01
1.500E+00 3.681E-01
2.000E+00 2.081E-01
2.044E+00 1.993E-01
3.000E+00 9.284E-02
4.000E+00 5.230E-02
5.000E+00 3.349E-02
6.000E+00 2.327E-02
7.000E+00 1.710E-02
8.000E+00 1.309E-02
9.000E+00 1.035E-02
1.000E+01 8.382E-03
