# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.518E+06
1.500E-03 6.793E+05
2.000E-03 3.681E+05
2.206E-03 2.969E+05
2.206E-03 3.214E+05
2.248E-03 4.825E+05
2.291E-03 7.240E+05
2.291E-03 7.675E+05
2.507E-03 7.416E+05
2.743E-03 7.167E+05
2.743E-03 8.271E+05
3.000E-03 6.670E+05
3.148E-03 5.927E+05
3.148E-03 6.289E+05
3.283E-03 5.691E+05
3.425E-03 5.152E+05
3.425E-03 5.372E+05
4.000E-03 3.711E+05
5.000E-03 2.152E+05
6.000E-03 1.367E+05
8.000E-03 6.584E+04
1.000E-02 3.704E+04
1.192E-02 2.345E+04
1.192E-02 5.982E+04
1.279E-02 4.940E+04
1.373E-02 4.080E+04
1.373E-02 5.654E+04
1.404E-02 5.361E+04
1.435E-02 5.084E+04
1.435E-02 5.874E+04
1.500E-02 5.249E+04
2.000E-02 2.502E+04
3.000E-02 8.541E+03
4.000E-02 3.928E+03
5.000E-02 2.138E+03
6.000E-02 1.296E+03
8.000E-02 5.856E+02
8.072E-02 5.711E+02
8.072E-02 2.784E+03
1.000E-01 1.588E+03
1.500E-01 5.441E+02
2.000E-01 2.522E+02
3.000E-01 8.655E+01
4.000E-01 4.164E+01
5.000E-01 2.417E+01
6.000E-01 1.579E+01
8.000E-01 8.357E+00
1.000E+00 5.261E+00
1.022E+00 5.035E+00
1.250E+00 3.514E+00
1.500E+00 2.977E+00
2.000E+00 3.162E+00
2.044E+00 3.211E+00
3.000E+00 4.541E+00
4.000E+00 5.977E+00
5.000E+00 7.270E+00
6.000E+00 8.422E+00
7.000E+00 9.457E+00
8.000E+00 1.040E+01
9.000E+00 1.126E+01
1.000E+01 1.206E+01
