# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 2.248E+06
1.074E-03 1.970E+06
1.153E-03 1.727E+06
1.153E-03 1.763E+06
1.500E-03 1.049E+06
2.000E-03 5.740E+05
3.000E-03 2.336E+05
3.000E-03 7.350E+05
3.000E-03 7.347E+05
3.136E-03 5.329E+05
3.136E-03 8.312E+05
3.389E-03 6.578E+05
3.663E-03 5.206E+05
3.663E-03 6.041E+05
4.000E-03 4.859E+05
4.327E-03 3.987E+05
4.327E-03 4.235E+05
4.487E-03 3.876E+05
4.652E-03 3.547E+05
4.652E-03 3.700E+05
5.000E-03 3.112E+05
6.000E-03 1.990E+05
8.000E-03 9.708E+04
1.000E-02 5.505E+04
1.500E-02 1.932E+04
1.503E-02 1.921E+04
1.503E-02 4.695E+04
1.641E-02 3.704E+04
1.791E-02 2.922E+04
1.791E-02 4.102E+04
1.827E-02 3.903E+04
1.864E-02 3.715E+04
1.864E-02 4.293E+04
2.000E-02 3.583E+04
3.000E-02 1.257E+04
4.000E-02 5.872E+03
5.000E-02 3.230E+03
6.000E-02 1.975E+03
8.000E-02 9.036E+02
1.000E-01 4.914E+02
1.011E-01 4.764E+02
1.011E-01 2.135E+03
1.500E-01 7.727E+02
2.000E-01 3.646E+02
3.000E-01 1.281E+02
4.000E-01 6.255E+01
5.000E-01 3.670E+01
6.000E-01 2.414E+01
8.000E-01 1.288E+01
1.000E+00 8.140E+00
1.022E+00 7.794E+00
1.250E+00 5.417E+00
1.500E+00 4.483E+00
2.000E+00 4.459E+00
2.044E+00 4.503E+00
3.000E+00 5.862E+00
4.000E+00 7.423E+00
5.000E+00 8.866E+00
6.000E+00 1.017E+01
7.000E+00 1.134E+01
8.000E+00 1.242E+01
9.000E+00 1.342E+01
1.000E+01 1.434E+01
