# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 4.496E+05
1.500E-03 1.722E+05
1.804E-03 1.097E+05
1.804E-03 4.386E+05
1.834E-03 4.216E+05
1.864E-03 4.053E+05
1.864E-03 5.609E+05
2.000E-03 4.832E+05
2.065E-03 4.468E+05
2.065E-03 5.111E+05
3.000E-03 2.006E+05
4.000E-03 9.520E+04
5.000E-03 5.264E+04
6.000E-03 3.220E+04
8.000E-03 1.466E+04
1.000E-02 7.897E+03
1.500E-02 2.527E+03
1.520E-02 2.434E+03
1.520E-02 1.697E+04
2.000E-02 8.357E+03
3.000E-02 2.769E+03
4.000E-02 1.234E+03
5.000E-02 6.517E+02
6.000E-02 3.840E+02
8.000E-02 1.650E+02
1.000E-01 8.512E+01
1.500E-01 2.540E+01
2.000E-01 1.081E+01
3.000E-01 3.327E+00
4.000E-01 1.496E+00
5.000E-01 8.302E-01
6.000E-01 5.262E-01
8.000E-01 2.698E-01
1.000E+00 1.680E-01
1.022E+00 1.598E-01
1.250E+00 1.233E-01
1.500E+00 1.523E-01
2.000E+00 3.187E-01
2.044E+00 3.367E-01
3.000E+00 7.548E-01
4.000E+00 1.168E+00
5.000E+00 1.536E+00
6.000E+00 1.861E+00
7.000E+00 2.151E+00
8.000E+00 2.413E+00
9.000E+00 2.652E+00
1.000E+01 2.870E+00
