# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 5.236E+05
1.039E-03 4.874E+05
1.080E-03 4.539E+05
1.080E-03 6.278E+05
1.093E-03 9.345E+05
1.106E-03 1.386E+06
1.106E-03 1.694E+06
1.253E-03 1.491E+06
1.420E-03 1.312E+06
1.420E-03 1.514E+06
1.500E-03 1.335E+06
1.541E-03 1.258E+06
1.541E-03 1.335E+06
1.629E-03 1.180E+06
1.723E-03 1.044E+06
1.723E-03 1.091E+06
2.000E-03 7.769E+05
3.000E-03 2.961E+05
4.000E-03 1.449E+05
5.000E-03 8.231E+04
6.000E-03 5.149E+04
6.716E-03 3.842E+04
6.716E-03 1.070E+05
7.008E-03 9.601E+04
7.312E-03 8.615E+04
7.312E-03 1.176E+05
7.521E-03 1.097E+05
7.737E-03 1.023E+05
7.737E-03 1.182E+05
8.000E-03 1.088E+05
1.000E-02 6.154E+04
1.500E-02 2.098E+04
2.000E-02 9.633E+03
3.000E-02 3.153E+03
4.000E-02 1.412E+03
4.683E-02 9.062E+02
4.683E-02 5.098E+03
5.000E-02 4.297E+03
6.000E-02 2.657E+03
8.000E-02 1.224E+03
1.000E-01 6.636E+02
1.500E-01 2.145E+02
2.000E-01 9.601E+01
3.000E-01 3.151E+01
4.000E-01 1.474E+01
5.000E-01 8.390E+00
6.000E-01 5.407E+00
8.000E-01 2.820E+00
1.000E+00 1.765E+00
1.022E+00 1.689E+00
1.250E+00 1.200E+00
1.500E+00 1.094E+00
2.000E+00 1.404E+00
2.044E+00 1.446E+00
3.000E+00 2.465E+00
4.000E+00 3.492E+00
5.000E+00 4.405E+00
6.000E+00 5.205E+00
7.000E+00 5.920E+00
8.000E+00 6.566E+00
9.000E+00 7.155E+00
1.000E+01 7.698E+00
