# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.887E+03
1.032E-03 1.881E+03
1.065E-03 1.874E+03
1.065E-03 1.874E+03
1.139E-03 1.859E+03
1.217E-03 1.842E+03
1.217E-03 1.842E+03
1.500E-03 1.782E+03
2.000E-03 1.672E+03
3.000E-03 1.455E+03
4.000E-03 1.268E+03
5.000E-03 1.113E+03
5.012E-03 1.111E+03
5.012E-03 1.111E+03
5.183E-03 1.086E+03
5.359E-03 1.064E+03
5.359E-03 1.064E+03
5.534E-03 1.042E+03
5.714E-03 1.019E+03
5.714E-03 1.019E+03
6.000E-03 9.840E+02
8.000E-03 7.830E+02
1.000E-02 6.370E+02
1.500E-02 4.190E+02
2.000E-02 3.000E+02
3.000E-02 1.719E+02
3.598E-02 1.312E+02
3.598E-02 1.312E+02
4.000E-02 1.119E+02
5.000E-02 7.955E+01
6.000E-02 5.954E+01
8.000E-02 3.673E+01
1.000E-01 2.489E+01
1.500E-01 1.211E+01
2.000E-01 7.174E+00
3.000E-01 3.354E+00
4.000E-01 1.932E+00
5.000E-01 1.255E+00
6.000E-01 8.794E-01
8.000E-01 5.001E-01
1.000E+00 3.219E-01
1.022E+00 3.084E-01
1.250E+00 2.069E-01
1.500E+00 1.440E-01
2.000E+00 8.120E-02
2.044E+00 7.775E-02
3.000E+00 3.615E-02
4.000E+00 2.035E-02
5.000E+00 1.303E-02
6.000E+00 9.049E-03
7.000E+00 6.649E-03
8.000E+00 5.091E-03
9.000E+00 4.022E-03
1.000E+01 3.258E-03
