# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 6.390E+05
1.500E-03 2.323E+05
2.000E-03 1.100E+05
3.000E-03 3.720E+04
4.000E-03 1.694E+04
5.000E-03 9.133E+03
5.989E-03 5.514E+03
5.989E-03 4.438E+04
6.000E-03 4.440E+04
8.000E-03 2.158E+04
1.000E-02 1.188E+04
1.500E-02 3.881E+03
2.000E-02 1.710E+03
3.000E-02 5.228E+02
4.000E-02 2.214E+02
5.000E-02 1.128E+02
6.000E-02 6.460E+01
8.000E-02 2.664E+01
1.000E-01 1.335E+01
1.500E-01 3.798E+00
2.000E-01 1.569E+00
3.000E-01 4.659E-01
4.000E-01 2.051E-01
5.000E-01 1.123E-01
6.000E-01 7.066E-02
8.000E-01 3.595E-02
1.000E+00 2.236E-02
1.022E+00 2.121E-02
1.250E+00 1.976E-02
1.500E+00 3.818E-02
2.000E+00 1.136E-01
2.044E+00 1.216E-01
3.000E+00 3.020E-01
4.000E+00 4.828E-01
5.000E+00 6.442E-01
6.000E+00 7.891E-01
7.000E+00 9.185E-01
8.000E+00 1.035E+00
9.000E+00 1.141E+00
1.000E+01 1.237E+00
