# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 7.863E+05
1.500E-03 3.056E+05
2.000E-03 1.519E+05
2.520E-03 8.537E+04
2.520E-03 3.143E+05
2.572E-03 2.955E+05
2.625E-03 2.779E+05
2.625E-03 3.867E+05
2.743E-03 3.471E+05
2.865E-03 3.116E+05
2.865E-03 3.564E+05
3.000E-03 3.196E+05
4.000E-03 1.539E+05
5.000E-03 8.619E+04
6.000E-03 5.315E+04
8.000E-03 2.449E+04
1.000E-02 1.329E+04
1.500E-02 4.302E+03
2.000E-02 1.911E+03
2.000E-02 1.250E+04
2.000E-02 1.250E+04
3.000E-02 4.370E+03
4.000E-02 1.985E+03
5.000E-02 1.062E+03
6.000E-02 6.318E+02
8.000E-02 2.753E+02
1.000E-01 1.435E+02
1.500E-01 4.353E+01
2.000E-01 1.872E+01
3.000E-01 5.839E+00
4.000E-01 2.646E+00
5.000E-01 1.476E+00
6.000E-01 9.386E-01
8.000E-01 4.827E-01
1.000E+00 3.008E-01
1.022E+00 2.862E-01
1.250E+00 2.146E-01
1.500E+00 2.401E-01
2.000E+00 4.449E-01
2.044E+00 4.676E-01
3.000E+00 9.975E-01
4.000E+00 1.521E+00
5.000E+00 1.985E+00
6.000E+00 2.393E+00
7.000E+00 2.759E+00
8.000E+00 3.089E+00
9.000E+00 3.389E+00
1.000E+01 3.665E+00
