# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 3.031E+05
1.198E-03 1.969E+05
1.436E-03 1.280E+05
1.436E-03 5.695E+05
1.456E-03 5.398E+05
1.476E-03 5.116E+05
1.476E-03 7.328E+05
1.500E-03 6.989E+05
1.654E-03 5.687E+05
1.654E-03 6.438E+05
2.000E-03 4.056E+05
3.000E-03 1.458E+05
4.000E-03 6.837E+04
5.000E-03 3.755E+04
6.000E-03 2.287E+04
8.000E-03 1.034E+04
1.000E-02 5.549E+03
1.266E-02 2.857E+03
1.266E-02 2.065E+04
1.500E-02 1.339E+04
2.000E-02 6.210E+03
3.000E-02 2.025E+03
4.000E-02 8.924E+02
5.000E-02 4.673E+02
6.000E-02 2.737E+02
8.000E-02 1.166E+02
1.000E-01 5.976E+01
1.500E-01 1.764E+01
2.000E-01 7.458E+00
3.000E-01 2.278E+00
4.000E-01 1.019E+00
5.000E-01 5.641E-01
6.000E-01 3.568E-01
8.000E-01 1.826E-01
1.000E+00 1.137E-01
1.022E+00 1.081E-01
1.250E+00 8.546E-02
1.500E+00 1.138E-01
2.000E+00 2.572E-01
2.044E+00 2.725E-01
3.000E+00 6.287E-01
4.000E+00 9.815E-01
5.000E+00 1.296E+00
6.000E+00 1.573E+00
7.000E+00 1.823E+00
8.000E+00 2.047E+00
9.000E+00 2.252E+00
1.000E+01 2.437E+00
