date,sales
2020-01-01,1250.50
2020-01-02,1180.25
2020-01-03,1320.75
2020-01-04,1295.00
2020-01-05,1450.25
2020-01-06,1650.50
2020-01-07,1850.75
2020-01-08,1425.25
2020-01-09,1375.50
2020-01-10,1520.75
2020-01-11,1590.25
2020-01-12,1680.50
2020-01-13,1750.75
2020-01-14,1980.25
2020-01-15,1520.50
2020-01-16,1480.75
2020-01-17,1620.25
2020-01-18,1720.50
2020-01-19,1850.75
2020-01-20,1920.25
2020-01-21,2150.50
2020-01-22,1680.75
2020-01-23,1620.25
2020-01-24,1750.50
2020-01-25,1850.75
2020-01-26,1950.25
2020-01-27,2020.50
2020-01-28,2250.75
2020-01-29,1780.25
2020-01-30,1720.50
2020-01-31,1850.75
2020-02-01,1920.25
2020-02-02,2050.50
2020-02-03,2120.75
2020-02-04,2350.25
2020-02-05,1950.50
2020-02-06,1880.75
2020-02-07,2020.25
2020-02-08,2120.50
2020-02-09,2250.75
2020-02-10,2320.25
2020-02-11,2550.50
2020-02-12,2180.75
2020-02-13,2120.25
2020-02-14,2250.50
2020-02-15,2350.75
2020-02-16,2450.25
2020-02-17,2520.50
2020-02-18,2750.75
2020-02-19,2380.25
2020-02-20,2320.50
2020-02-21,2450.75
2020-02-22,2550.25
2020-02-23,2650.50
2020-02-24,2720.75
2020-02-25,2950.25
2020-02-26,2580.50
2020-02-27,2520.75
2020-02-28,2650.25
2020-02-29,2750.50
2020-03-01,2850.75
2020-03-02,2920.25
2020-03-03,3150.50
2020-03-04,2780.75
2020-03-05,2720.25
2020-03-06,2850.50
2020-03-07,2950.75
2020-03-08,3050.25
2020-03-09,3120.50
2020-03-10,3350.75
2020-03-11,2980.25
2020-03-12,2920.50
2020-03-13,3050.75
2020-03-14,3150.25
2020-03-15,3250.50
2020-03-16,3320.75
2020-03-17,3550.25
2020-03-18,3180.50
2020-03-19,3120.75
2020-03-20,3250.25
2020-03-21,3350.50
2020-03-22,3450.75
2020-03-23,3520.25
2020-03-24,3750.50
2020-03-25,3380.75
2020-03-26,3320.25
2020-03-27,3450.50
2020-03-28,3550.75
2020-03-29,3650.25
2020-03-30,3720.50
2020-03-31,3950.75
2020-04-01,3580.25
2020-04-02,3520.50
2020-04-03,3650.75
2020-04-04,3750.25
2020-04-05,3850.50
2020-04-06,3920.75
2020-04-07,4150.25
2020-04-08,3780.50
2020-04-09,3720.75
2020-04-10,3850.25
