n	k	avg_time
3	2	4364.0
4	2	4320.0
4	3	4909.0
5	2	4374.0
5	3	4918.0
5	4	5312.0
6	2	4304.0
6	3	4853.0
6	4	5241.0
6	5	5780.0
7	2	4286.0
7	3	4772.0
7	4	5327.0
7	5	5932.0
7	6	6204.0
8	2	4431.0
8	3	4930.0
8	4	5193.0
8	5	5754.0
8	6	6322.0
8	7	6857.0
9	2	4404.0
9	3	4791.0
9	4	5293.0
9	5	5718.0
9	6	6198.0
9	7	6559.0
9	8	6984.0
10	2	4372.0
10	3	4900.0
10	4	5409.0
10	5	5827.0
10	6	6297.0
10	7	6542.0
10	8	6962.0
10	9	7447.0
11	2	4363.0
11	3	4936.0
11	4	5316.0
11	5	5888.0
11	6	6256.0
11	7	6579.0
11	8	6933.0
11	9	7440.0
11	10	8062.0
12	2	4436.0
12	3	4843.0
12	4	5315.0
12	5	6040.0
12	6	6103.0
12	7	6532.0
12	8	7214.0
12	9	7561.0
12	10	7907.0
12	11	8359.0
13	2	4265.0
13	3	4841.0
13	4	5294.0
13	5	5915.0
13	6	6304.0
13	7	6761.0
13	8	7185.0
13	9	7482.0
13	10	7834.0
13	11	8267.0
13	12	8872.0
14	2	4492.0
14	3	4915.0
14	4	5308.0
14	5	5890.0
14	6	6251.0
14	7	6710.0
14	8	6967.0
14	9	7527.0
14	10	8023.0
14	11	8338.0
14	12	8695.0
14	13	9098.0
15	2	4216.0
15	3	4729.0
15	4	5253.0
15	5	5888.0
15	6	6434.0
15	7	6769.0
15	8	7220.0
15	9	7502.0
15	10	7888.0
15	11	8502.0
15	12	8602.0
15	13	9218.0
15	14	9523.0
16	2	4359.0
16	3	4748.0
16	4	5377.0
16	5	5833.0
16	6	6284.0
16	7	6726.0
16	8	7267.0
16	9	7597.0
16	10	7958.0
16	11	8317.0
16	12	8839.0
16	13	9181.0
16	14	9666.0
16	15	10057.0
17	2	4466.0
17	3	4823.0
17	4	5225.0
17	5	5964.0
17	6	6451.0
17	7	6751.0
17	8	7052.0
17	9	7562.0
17	10	7804.0
17	11	8375.0
17	12	8900.0
17	13	9226.0
17	14	9585.0
17	15	9867.0
17	16	10534.0
18	2	4333.0
18	3	4863.0
18	4	5332.0
18	5	6045.0
18	6	6307.0
18	7	6744.0
18	8	7080.0
18	9	7652.0
18	10	8017.0
18	11	8426.0
18	12	8831.0
18	13	9278.0
18	14	9502.0
18	15	10055.0
18	16	10391.0
18	17	11381.0
19	2	4283.0
19	3	4989.0
19	4	5223.0
19	5	5931.0
19	6	6404.0
19	7	6804.0
19	8	7191.0
19	9	7536.0
19	10	7946.0
19	11	8473.0
19	12	8950.0
19	13	9345.0
19	14	9678.0
19	15	9997.0
19	16	10321.0
19	17	11623.0
19	18	11821.0
20	2	4367.0
20	3	4877.0
20	4	5364.0
20	5	5892.0
20	6	6162.0
20	7	6878.0
20	8	7353.0
20	9	7674.0
20	10	7927.0
20	11	8434.0
20	12	8783.0
20	13	9273.0
20	14	9915.0
20	15	10084.0
20	16	10388.0
20	17	11415.0
20	18	12000.0
20	19	12358.0
