n,k,avg_time
3,2,16848.0
4,2,16970.0
4,3,19201.0
5,2,17111.0
5,3,19123.0
5,4,20924.0
6,2,17047.0
6,3,19324.0
6,4,20855.0
6,5,23058.0
7,2,17178.0
7,3,18788.0
7,4,20771.0
7,5,22759.0
7,6,24582.0
8,2,16983.0
8,3,19108.0
8,4,20376.0
8,5,22982.0
8,6,24512.0
8,7,25944.0
9,2,16833.0
9,3,18966.0
9,4,21112.0
9,5,22656.0
9,6,24828.0
9,7,26005.0
9,8,28350.0
10,2,16846.0
10,3,19194.0
10,4,20674.0
10,5,23055.0
10,6,24825.0
10,7,26644.0
10,8,27636.0
10,9,29907.0
11,2,16979.0
11,3,19010.0
11,4,20708.0
11,5,22865.0
11,6,24722.0
11,7,26224.0
11,8,27874.0
11,9,29725.0
11,10,31269.0
12,2,17053.0
12,3,18834.0
12,4,21030.0
12,5,22850.0
12,6,24848.0
12,7,26219.0
12,8,28314.0
12,9,29382.0
12,10,31456.0
12,11,33048.0
13,2,14639.0
13,3,19199.0
13,4,20757.0
13,5,23485.0
13,6,24814.0
13,7,26363.0
13,8,29761.0
13,9,31154.0
13,10,32957.0
13,11,34786.0
13,12,36883.0
14,2,14257.0
14,3,20220.0
14,4,22077.0
14,5,24344.0
14,6,25918.0
14,7,27261.0
14,8,28157.0
14,9,29707.0
14,10,31491.0
14,11,32776.0
14,12,34642.0
14,13,36372.0
15,2,12531.0
15,3,19109.0
15,4,20832.0
15,5,23225.0
15,6,25176.0
15,7,26683.0
15,8,28155.0
15,9,29805.0
15,10,31128.0
15,11,32915.0
15,12,34514.0
15,13,36722.0
15,14,37852.0
16,2,11887.0
16,3,19274.0
16,4,21900.0
16,5,23996.0
16,6,25730.0
16,7,27425.0
16,8,29362.0
16,9,31140.0
16,10,32492.0
16,11,34104.0
16,12,35760.0
16,13,37400.0
16,14,39069.0
16,15,40777.0
17,2,11713.0
17,3,19837.0
17,4,21605.0
17,5,23838.0
17,6,25482.0
17,7,27555.0
17,8,29077.0
17,9,30673.0
17,10,32471.0
17,11,34252.0
17,12,36168.0
17,13,37939.0
17,14,39364.0
17,15,41057.0
17,16,42287.0
18,2,11010.0
18,3,19768.0
18,4,21631.0
18,5,24057.0
18,6,25725.0
18,7,27206.0
18,8,29230.0
18,9,30742.0
18,10,32493.0
18,11,34093.0
18,12,35903.0
18,13,37851.0
18,14,39138.0
18,15,41253.0
18,16,42736.0
18,17,46727.0
19,2,10980.0
19,3,19882.0
19,4,21568.0
19,5,23780.0
19,6,25090.0
19,7,27543.0
19,8,29005.0
19,9,30498.0
19,10,32508.0
19,11,33966.0
19,12,36037.0
19,13,37816.0
19,14,39556.0
19,15,41596.0
19,16,43158.0
19,17,47307.0
19,18,48563.0
20,2,10228.0
20,3,18753.0
20,4,21574.0
20,5,23880.0
20,6,25901.0
20,7,27449.0
20,8,29125.0
20,9,30727.0
20,10,32054.0
20,11,34040.0
20,12,35842.0
20,13,37797.0
20,14,39119.0
20,15,41334.0
20,16,42920.0
20,17,46903.0
20,18,48214.0
20,19,50314.0
