n	k	avg_time
3	2	447.0
4	2	442.0
4	3	481.0
5	2	431.0
5	3	457.0
5	4	546.0
6	2	435.0
6	3	502.0
6	4	519.0
6	5	581.0
7	2	440.0
7	3	486.0
7	4	561.0
7	5	632.0
7	6	614.0
8	2	436.0
8	3	488.0
8	4	524.0
8	5	587.0
8	6	628.0
8	7	648.0
9	2	428.0
9	3	479.0
9	4	516.0
9	5	619.0
9	6	618.0
9	7	659.0
9	8	749.0
10	2	432.0
10	3	497.0
10	4	549.0
10	5	574.0
10	6	612.0
10	7	658.0
10	8	695.0
10	9	750.0
11	2	441.0
11	3	465.0
11	4	527.0
11	5	575.0
11	6	619.0
11	7	650.0
11	8	690.0
11	9	769.0
11	10	791.0
12	2	420.0
12	3	459.0
12	4	547.0
12	5	587.0
12	6	615.0
12	7	653.0
12	8	738.0
12	9	768.0
12	10	786.0
12	11	854.0
13	2	443.0
13	3	500.0
13	4	552.0
13	5	619.0
13	6	618.0
13	7	678.0
13	8	740.0
13	9	774.0
13	10	815.0
13	11	860.0
13	12	931.0
14	2	458.0
14	3	513.0
14	4	532.0
14	5	614.0
14	6	658.0
14	7	694.0
14	8	751.0
14	9	764.0
14	10	834.0
14	11	850.0
14	12	864.0
14	13	965.0
15	2	441.0
15	3	499.0
15	4	547.0
15	5	618.0
15	6	645.0
15	7	690.0
15	8	708.0
15	9	726.0
15	10	781.0
15	11	823.0
15	12	891.0
15	13	918.0
15	14	947.0
16	2	442.0
16	3	476.0
16	4	563.0
16	5	619.0
16	6	650.0
16	7	708.0
16	8	727.0
16	9	759.0
16	10	795.0
16	11	823.0
16	12	901.0
16	13	892.0
16	14	927.0
16	15	990.0
17	2	444.0
17	3	492.0
17	4	534.0
17	5	589.0
17	6	614.0
17	7	683.0
17	8	708.0
17	9	756.0
17	10	773.0
17	11	820.0
17	12	856.0
17	13	938.0
17	14	933.0
17	15	995.0
17	16	1048.0
18	2	454.0
18	3	520.0
18	4	539.0
18	5	584.0
18	6	648.0
18	7	685.0
18	8	709.0
18	9	747.0
18	10	793.0
18	11	875.0
18	12	907.0
18	13	961.0
18	14	971.0
18	15	1047.0
18	16	1078.0
18	17	1133.0
19	2	440.0
19	3	478.0
19	4	533.0
19	5	590.0
19	6	626.0
19	7	679.0
19	8	716.0
19	9	773.0
19	10	819.0
19	11	861.0
19	12	856.0
19	13	890.0
19	14	1002.0
19	15	1013.0
19	16	1041.0
19	17	1160.0
19	18	1192.0
20	2	442.0
20	3	496.0
20	4	524.0
20	5	594.0
20	6	647.0
20	7	658.0
20	8	709.0
20	9	756.0
20	10	796.0
20	11	842.0
20	12	880.0
20	13	890.0
20	14	957.0
20	15	1054.0
20	16	1106.0
20	17	1133.0
20	18	1269.0
20	19	1279.0
