n	k	avg_time
3	2	73.0
4	2	73.0
4	3	78.0
5	2	70.0
5	3	79.0
5	4	84.0
6	2	72.0
6	3	79.0
6	4	83.0
6	5	91.0
7	2	71.0
7	3	78.0
7	4	83.0
7	5	91.0
7	6	93.0
8	2	70.0
8	3	78.0
8	4	80.0
8	5	91.0
8	6	99.0
8	7	103.0
9	2	70.0
9	3	78.0
9	4	85.0
9	5	90.0
9	6	97.0
9	7	102.0
9	8	108.0
10	2	74.0
10	3	81.0
10	4	87.0
10	5	92.0
10	6	97.0
10	7	102.0
10	8	109.0
10	9	111.0
11	2	73.0
11	3	78.0
11	4	84.0
11	5	91.0
11	6	96.0
11	7	101.0
11	8	106.0
11	9	113.0
11	10	110.0
12	2	72.0
12	3	79.0
12	4	84.0
12	5	94.0
12	6	96.0
12	7	105.0
12	8	110.0
12	9	110.0
12	10	117.0
12	11	119.0
13	2	71.0
13	3	75.0
13	4	86.0
13	5	90.0
13	6	99.0
13	7	101.0
13	8	110.0
13	9	112.0
13	10	117.0
13	11	120.0
13	12	119.0
14	2	69.0
14	3	81.0
14	4	83.0
14	5	93.0
14	6	98.0
14	7	104.0
14	8	108.0
14	9	111.0
14	10	119.0
14	11	119.0
14	12	125.0
14	13	127.0
15	2	71.0
15	3	78.0
15	4	86.0
15	5	93.0
15	6	97.0
15	7	102.0
15	8	106.0
15	9	94.0
15	10	82.0
15	11	119.0
15	12	125.0
15	13	129.0
15	14	133.0
16	2	71.0
16	3	78.0
16	4	86.0
16	5	94.0
16	6	98.0
16	7	102.0
16	8	107.0
16	9	114.0
16	10	120.0
16	11	120.0
16	12	127.0
16	13	130.0
16	14	134.0
16	15	138.0
17	2	71.0
17	3	80.0
17	4	85.0
17	5	87.0
17	6	96.0
17	7	105.0
17	8	106.0
17	9	111.0
17	10	116.0
17	11	120.0
17	12	128.0
17	13	130.0
17	14	134.0
17	15	139.0
17	16	141.0
18	2	70.0
18	3	79.0
18	4	83.0
18	5	92.0
18	6	98.0
18	7	103.0
18	8	106.0
18	9	112.0
18	10	115.0
18	11	118.0
18	12	125.0
18	13	128.0
18	14	132.0
18	15	136.0
18	16	142.0
18	17	151.0
19	2	72.0
19	3	81.0
19	4	85.0
19	5	91.0
19	6	99.0
19	7	104.0
19	8	109.0
19	9	115.0
19	10	114.0
19	11	121.0
19	12	127.0
19	13	128.0
19	14	133.0
19	15	135.0
19	16	140.0
19	17	153.0
19	18	156.0
20	2	74.0
20	3	81.0
20	4	87.0
20	5	92.0
20	6	97.0
20	7	104.0
20	8	110.0
20	9	114.0
20	10	118.0
20	11	121.0
20	12	127.0
20	13	129.0
20	14	130.0
20	15	137.0
20	16	140.0
20	17	151.0
20	18	155.0
20	19	158.0
