# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.569E+02
1.500E-03 1.435E+02
2.000E-03 1.292E+02
2.472E-03 1.162E+02
2.472E-03 1.162E+02
3.000E-03 1.038E+02
4.000E-03 8.521E+01
5.000E-03 7.206E+01
6.000E-03 6.238E+01
8.000E-03 4.850E+01
1.000E-02 3.849E+01
1.500E-02 2.290E+01
2.000E-02 1.502E+01
3.000E-02 8.049E+00
4.000E-02 5.082E+00
5.000E-02 3.503E+00
6.000E-02 2.554E+00
8.000E-02 1.523E+00
1.000E-01 1.009E+00
1.500E-01 4.698E-01
2.000E-01 2.700E-01
3.000E-01 1.222E-01
4.000E-01 6.924E-02
5.000E-01 4.447E-02
6.000E-01 3.094E-02
8.000E-01 1.744E-02
1.000E+00 1.117E-02
1.022E+00 1.070E-02
1.250E+00 7.153E-03
1.500E+00 4.969E-03
2.000E+00 2.796E-03
2.044E+00 2.677E-03
3.000E+00 1.243E-03
4.000E+00 6.992E-04
5.000E+00 4.475E-04
6.000E+00 3.108E-04
7.000E+00 2.283E-04
8.000E+00 1.748E-04
9.000E+00 1.381E-04
1.000E+01 1.119E-04
