# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.868E+02
1.500E-03 3.602E+02
2.000E-03 3.326E+02
3.000E-03 2.820E+02
4.000E-03 2.384E+02
5.000E-03 2.019E+02
6.000E-03 1.719E+02
6.539E-03 1.583E+02
6.539E-03 1.583E+02
8.000E-03 1.284E+02
1.000E-02 1.003E+02
1.500E-02 6.275E+01
2.000E-02 4.346E+01
3.000E-02 2.384E+01
4.000E-02 1.503E+01
5.000E-02 1.043E+01
6.000E-02 7.695E+00
8.000E-02 4.694E+00
1.000E-01 3.151E+00
1.500E-01 1.488E+00
2.000E-01 8.623E-01
3.000E-01 3.943E-01
4.000E-01 2.246E-01
5.000E-01 1.446E-01
6.000E-01 1.008E-01
8.000E-01 5.692E-02
1.000E+00 3.650E-02
1.022E+00 3.495E-02
1.250E+00 2.339E-02
1.500E+00 1.625E-02
2.000E+00 9.146E-03
2.044E+00 8.757E-03
3.000E+00 4.067E-03
4.000E+00 2.288E-03
5.000E+00 1.464E-03
6.000E+00 1.017E-03
7.000E+00 7.472E-04
8.000E+00 5.721E-04
9.000E+00 4.520E-04
1.000E+01 3.661E-04
