# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.734E+00
1.500E-03 3.941E+00
2.000E-03 3.366E+00
3.000E-03 2.669E+00
4.000E-03 2.231E+00
5.000E-03 1.889E+00
6.000E-03 1.602E+00
8.000E-03 1.163E+00
1.000E-02 8.627E-01
1.500E-02 4.626E-01
2.000E-02 2.851E-01
3.000E-02 1.382E-01
4.000E-02 8.075E-02
5.000E-02 5.270E-02
6.000E-02 3.701E-02
8.000E-02 2.106E-02
1.000E-01 1.356E-02
1.500E-01 6.059E-03
2.000E-01 3.415E-03
3.000E-01 1.520E-03
4.000E-01 8.553E-04
5.000E-01 5.475E-04
6.000E-01 3.803E-04
8.000E-01 2.139E-04
1.000E+00 1.369E-04
1.022E+00 1.311E-04
1.250E+00 8.764E-05
1.500E+00 6.086E-05
2.000E+00 3.423E-05
2.044E+00 3.278E-05
3.000E+00 1.521E-05
4.000E+00 8.559E-06
5.000E+00 5.478E-06
6.000E+00 3.804E-06
7.000E+00 2.795E-06
8.000E+00 2.140E-06
9.000E+00 1.691E-06
1.000E+01 1.369E-06
