# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 2.018E+02
1.500E-03 1.872E+02
2.000E-03 1.705E+02
3.000E-03 1.382E+02
3.203E-03 1.322E+02
3.203E-03 1.322E+02
4.000E-03 1.124E+02
5.000E-03 9.345E+01
6.000E-03 7.970E+01
8.000E-03 6.133E+01
1.000E-02 4.916E+01
1.500E-02 3.022E+01
2.000E-02 2.001E+01
3.000E-02 1.072E+01
4.000E-02 6.776E+00
5.000E-02 4.690E+00
6.000E-02 3.435E+00
8.000E-02 2.061E+00
1.000E-01 1.369E+00
1.500E-01 6.390E-01
2.000E-01 3.681E-01
3.000E-01 1.671E-01
4.000E-01 9.475E-02
5.000E-01 6.089E-02
6.000E-01 4.238E-02
8.000E-01 2.389E-02
1.000E+00 1.531E-02
1.022E+00 1.466E-02
1.250E+00 9.804E-03
1.500E+00 6.811E-03
2.000E+00 3.833E-03
2.044E+00 3.669E-03
3.000E+00 1.704E-03
4.000E+00 9.585E-04
5.000E+00 6.135E-04
6.000E+00 4.260E-04
7.000E+00 3.130E-04
8.000E+00 2.397E-04
9.000E+00 1.894E-04
1.000E+01 1.534E-04
