# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.494E+03
1.500E-03 3.347E+03
1.809E-03 3.248E+03
1.809E-03 3.248E+03
1.840E-03 3.238E+03
1.872E-03 3.227E+03
1.872E-03 3.227E+03
2.000E-03 3.184E+03
2.281E-03 3.089E+03
2.281E-03 3.089E+03
2.423E-03 3.044E+03
2.575E-03 2.997E+03
2.575E-03 2.997E+03
2.694E-03 2.958E+03
2.820E-03 2.917E+03
2.820E-03 2.917E+03
3.000E-03 2.858E+03
4.000E-03 2.555E+03
5.000E-03 2.284E+03
6.000E-03 2.044E+03
8.000E-03 1.654E+03
1.000E-02 1.358E+03
1.021E-02 1.332E+03
1.021E-02 1.332E+03
1.085E-02 1.254E+03
1.154E-02 1.178E+03
1.154E-02 1.178E+03
1.182E-02 1.150E+03
1.210E-02 1.122E+03
1.210E-02 1.122E+03
1.500E-02 8.811E+02
2.000E-02 6.215E+02
3.000E-02 3.675E+02
4.000E-02 2.423E+02
5.000E-02 1.714E+02
6.000E-02 1.284E+02
6.953E-02 1.013E+02
6.953E-02 1.013E+02
8.000E-02 8.066E+01
1.000E-01 5.540E+01
1.500E-01 2.710E+01
2.000E-01 1.615E+01
3.000E-01 7.668E+00
4.000E-01 4.460E+00
5.000E-01 2.911E+00
6.000E-01 2.048E+00
8.000E-01 1.171E+00
1.000E+00 7.562E-01
1.022E+00 7.246E-01
1.250E+00 4.874E-01
1.500E+00 3.399E-01
2.000E+00 1.921E-01
2.044E+00 1.839E-01
3.000E+00 8.567E-02
4.000E+00 4.825E-02
5.000E+00 3.090E-02
6.000E+00 2.147E-02
7.000E+00 1.577E-02
8.000E+00 1.208E-02
9.000E+00 9.545E-03
1.000E+01 7.732E-03
