# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.366E+02
1.500E-03 1.241E+02
2.000E-03 1.113E+02
2.145E-03 1.078E+02
2.145E-03 1.078E+02
3.000E-03 8.973E+01
4.000E-03 7.447E+01
5.000E-03 6.362E+01
6.000E-03 5.533E+01
8.000E-03 4.284E+01
1.000E-02 3.363E+01
1.500E-02 1.967E+01
2.000E-02 1.287E+01
3.000E-02 6.897E+00
4.000E-02 4.346E+00
5.000E-02 2.986E+00
6.000E-02 2.172E+00
8.000E-02 1.292E+00
1.000E-01 8.552E-01
1.500E-01 3.973E-01
2.000E-01 2.281E-01
3.000E-01 1.031E-01
4.000E-01 5.837E-02
5.000E-01 3.748E-02
6.000E-01 2.607E-02
8.000E-01 1.469E-02
1.000E+00 9.409E-03
1.022E+00 9.009E-03
1.250E+00 6.025E-03
1.500E+00 4.185E-03
2.000E+00 2.355E-03
2.044E+00 2.255E-03
3.000E+00 1.047E-03
4.000E+00 5.889E-04
5.000E+00 3.769E-04
6.000E+00 2.617E-04
7.000E+00 1.923E-04
8.000E+00 1.472E-04
9.000E+00 1.163E-04
1.000E+01 9.423E-05
