# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.989E+01
1.500E-03 3.698E+01
2.000E-03 3.356E+01
3.000E-03 2.663E+01
4.000E-03 2.081E+01
5.000E-03 1.642E+01
6.000E-03 1.323E+01
8.000E-03 9.157E+00
1.000E-02 6.814E+00
1.500E-02 3.948E+00
2.000E-02 2.627E+00
3.000E-02 1.394E+00
4.000E-02 8.541E-01
5.000E-02 5.755E-01
6.000E-02 4.138E-01
8.000E-02 2.428E-01
1.000E-01 1.591E-01
1.500E-01 7.264E-02
2.000E-01 4.128E-02
3.000E-01 1.849E-02
4.000E-01 1.043E-02
5.000E-01 6.684E-03
6.000E-01 4.645E-03
8.000E-01 2.615E-03
1.000E+00 1.674E-03
1.022E+00 1.603E-03
1.250E+00 1.072E-03
1.500E+00 7.442E-04
2.000E+00 4.187E-04
2.044E+00 4.008E-04
3.000E+00 1.861E-04
4.000E+00 1.047E-04
5.000E+00 6.699E-05
6.000E+00 4.652E-05
7.000E+00 3.418E-05
8.000E+00 2.617E-05
9.000E+00 2.068E-05
1.000E+01 1.675E-05
