# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.510E+03
1.500E-03 4.321E+03
2.000E-03 4.108E+03
2.683E-03 3.815E+03
2.683E-03 3.815E+03
2.740E-03 3.791E+03
2.798E-03 3.766E+03
2.798E-03 3.766E+03
3.000E-03 3.681E+03
3.302E-03 3.561E+03
3.302E-03 3.561E+03
3.567E-03 3.458E+03
3.854E-03 3.348E+03
3.854E-03 3.348E+03
4.000E-03 3.293E+03
4.149E-03 3.239E+03
4.149E-03 3.239E+03
5.000E-03 2.952E+03
6.000E-03 2.653E+03
8.000E-03 2.168E+03
1.000E-02 1.802E+03
1.381E-02 1.316E+03
1.381E-02 1.316E+03
1.500E-02 1.203E+03
1.624E-02 1.099E+03
1.624E-02 1.099E+03
1.659E-02 1.073E+03
1.694E-02 1.047E+03
1.694E-02 1.047E+03
2.000E-02 8.535E+02
3.000E-02 5.023E+02
4.000E-02 3.364E+02
5.000E-02 2.399E+02
6.000E-02 1.797E+02
8.000E-02 1.129E+02
9.310E-02 8.793E+01
9.310E-02 8.793E+01
1.000E-01 7.809E+01
1.500E-01 3.861E+01
2.000E-01 2.304E+01
3.000E-01 1.101E+01
4.000E-01 6.445E+00
5.000E-01 4.224E+00
6.000E-01 2.980E+00
8.000E-01 1.709E+00
1.000E+00 1.107E+00
1.022E+00 1.061E+00
1.250E+00 7.149E-01
1.500E+00 4.992E-01
2.000E+00 2.826E-01
2.044E+00 2.707E-01
3.000E+00 1.263E-01
4.000E+00 7.117E-02
5.000E+00 4.559E-02
6.000E+00 3.168E-02
7.000E+00 2.328E-02
8.000E+00 1.783E-02
9.000E+00 1.409E-02
1.000E+01 1.141E-02
