# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 8.10000E+01
2.47969E-05 8.10000E+01
4.95937E-05 8.09884E+01
9.91875E-05 8.09767E+01
1.23984E-04 8.09730E+01
1.85976E-04 8.09490E+01
2.32471E-04 8.09358E+01
2.47969E-04 8.09320E+01
3.71953E-04 8.08730E+01
4.95937E-04 8.07760E+01
6.19922E-04 8.06520E+01
6.27361E-04 8.06422E+01
7.43906E-04 8.05030E+01
8.67890E-04 8.03281E+01
9.91875E-04 8.01330E+01
1.11586E-03 7.99210E+01
1.23984E-03 7.96870E+01
1.41032E-03 7.93241E+01
1.59630E-03 7.88944E+01
1.61180E-03 7.88545E+01
1.73578E-03 7.85490E+01
1.85976E-03 7.82239E+01
2.04574E-03 7.77298E+01
2.23172E-03 7.72140E+01
2.47969E-03 7.64950E+01
2.75096E-03 7.56790E+01
3.09961E-03 7.45930E+01
3.40957E-03 7.35947E+01
3.71953E-03 7.26040E+01
4.18447E-03 7.11024E+01
4.33945E-03 7.06080E+01
4.95937E-03 6.85960E+01
5.57929E-03 6.65832E+01
6.19922E-03 6.45900E+01
6.64792E-03 6.31078E+01
7.12910E-03 6.16596E+01
7.43906E-03 6.07120E+01
7.96304E-03 5.90759E+01
8.52392E-03 5.74839E+01
9.29882E-03 5.53118E+01
9.91875E-03 5.36570E+01
1.05204E-02 5.20925E+01
1.11586E-02 5.05736E+01
1.17785E-02 4.91385E+01
1.23984E-02 4.77800E+01
1.32958E-02 4.58865E+01
1.42582E-02 4.40680E+01
1.48781E-02 4.29440E+01
1.57806E-02 4.13601E+01
1.67379E-02 3.98347E+01
1.73578E-02 3.88760E+01
1.82640E-02 3.74994E+01
1.92176E-02 3.61716E+01
1.98375E-02 3.53220E+01
2.07465E-02 3.40826E+01
2.16973E-02 3.28866E+01
2.23172E-02 3.21140E+01
2.32285E-02 3.09827E+01
2.41769E-02 2.98912E+01
2.47969E-02 2.91850E+01
2.63467E-02 2.74871E+01
2.74851E-02 2.62972E+01
2.86726E-02 2.51589E+01
2.98117E-02 2.41090E+01
3.09961E-02 2.31030E+01
3.20982E-02 2.22249E+01
3.38254E-02 2.09700E+01
3.56455E-02 1.97859E+01
3.71953E-02 1.89090E+01
3.87141E-02 1.81666E+01
4.02949E-02 1.74533E+01
4.18160E-02 1.68554E+01
4.33945E-02 1.62779E+01
4.49443E-02 1.57658E+01
4.72118E-02 1.50852E+01
4.95937E-02 1.44340E+01
5.26021E-02 1.36923E+01
5.57929E-02 1.29888E+01
5.88109E-02 1.23901E+01
6.19922E-02 1.18190E+01
6.62547E-02 1.11177E+01
6.91609E-02 1.06325E+01
7.12910E-02 1.02549E+01
7.17745E-02 1.01661E+01
7.37360E-02 9.79355E+00
7.43906E-02 9.66440E+00
7.59404E-02 9.35062E+00
7.75813E-02 9.01219E+00
8.01094E-02 8.52736E+00
8.27199E-02 8.06862E+00
8.54326E-02 7.67350E+00
8.67890E-02 7.50940E+00
8.83388E-02 7.35062E+00
9.36061E-02 6.93665E+00
9.91875E-02 6.54600E+00
1.02287E-01 6.26625E+00
1.05000E-01 6.01155E+00
1.07347E-01 5.80455E+00
1.09746E-01 5.60467E+00
1.13695E-01 5.29926E+00
1.17785E-01 5.01049E+00
1.18646E-01 4.95301E+00
1.22204E-01 4.72634E+00
1.23984E-01 4.61920E+00
1.27084E-01 4.47836E+00
1.32509E-01 4.28011E+00
1.38476E-01 4.10270E+00
1.44712E-01 3.93264E+00
1.48781E-01 3.81920E+00
1.54980E-01 3.63665E+00
1.61804E-01 3.43782E+00
1.68929E-01 3.24986E+00
1.73578E-01 3.14250E+00
1.81161E-01 2.99196E+00
1.89076E-01 2.84864E+00
1.95275E-01 2.72976E+00
1.98375E-01 2.66640E+00
2.04574E-01 2.53024E+00
2.10000E-01 2.40699E+00
2.14693E-01 2.29948E+00
2.19492E-01 2.19678E+00
2.23812E-01 2.10817E+00
2.30452E-01 1.98192E+00
2.37289E-01 1.86323E+00
2.44408E-01 1.75952E+00
2.47969E-01 1.71420E+00
2.55730E-01 1.63056E+00
2.62971E-01 1.56734E+00
2.72989E-01 1.49791E+00
2.82164E-01 1.44823E+00
2.93397E-01 1.40044E+00
3.03216E-01 1.36702E+00
3.21533E-01 1.32003E+00
3.40957E-01 1.27465E+00
3.71953E-01 1.20760E+00
3.87451E-01 1.17026E+00
4.01015E-01 1.13582E+00
4.24746E-01 1.07359E+00
4.42550E-01 1.02664E+00
4.55695E-01 9.91627E-01
4.69231E-01 9.57809E-01
4.82399E-01 9.24428E-01
4.95937E-01 8.92210E-01
5.12906E-01 8.51975E-01
5.30455E-01 8.13555E-01
5.46744E-01 7.78404E-01
5.63534E-01 7.44772E-01
5.84279E-01 7.04151E-01
6.05787E-01 6.65745E-01
6.25286E-01 6.32055E-01
6.45413E-01 6.00069E-01
6.63412E-01 5.72392E-01
6.81914E-01 5.45991E-01
6.99991E-01 5.21290E-01
7.24591E-01 4.89392E-01
7.50056E-01 4.59446E-01
7.64914E-01 4.42481E-01
7.87756E-01 4.18200E-01
8.11279E-01 3.95252E-01
8.37632E-01 3.70728E-01
8.64840E-01 3.47726E-01
8.81219E-01 3.34395E-01
9.06370E-01 3.15351E-01
9.32238E-01 2.97392E-01
9.60018E-01 2.79115E-01
9.88626E-01 2.61961E-01
1.01033E+00 2.49531E-01
1.04378E+00 2.31984E-01
1.07834E+00 2.15670E-01
1.09799E+00 2.06813E-01
1.12813E+00 1.94204E-01
1.15910E+00 1.82364E-01
1.17878E+00 1.75160E-01
1.20893E+00 1.64883E-01
1.23984E+00 1.55210E-01
1.26246E+00 1.48449E-01
1.29717E+00 1.38855E-01
1.33283E+00 1.29881E-01
1.37291E+00 1.20533E-01
1.41419E+00 1.11858E-01
1.44852E+00 1.05143E-01
1.47481E+00 1.00372E-01
1.51514E+00 9.36195E-02
1.55657E+00 8.73209E-02
