# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 3.20000E+01
2.47969E-05 3.20000E+01
4.95937E-05 3.19927E+01
9.91875E-05 3.19854E+01
1.23984E-04 3.19830E+01
1.66603E-04 3.19732E+01
1.95662E-04 3.19679E+01
2.30534E-04 3.19624E+01
2.47969E-04 3.19600E+01
3.71953E-04 3.19300E+01
4.64941E-04 3.18919E+01
4.95937E-04 3.18770E+01
6.19922E-04 3.18090E+01
6.27361E-04 3.18036E+01
7.43906E-04 3.17270E+01
8.67890E-04 3.16292E+01
9.91875E-04 3.15220E+01
1.11586E-03 3.14044E+01
1.23984E-03 3.12750E+01
1.41032E-03 3.10748E+01
1.59630E-03 3.08347E+01
1.61180E-03 3.08137E+01
1.73578E-03 3.06450E+01
1.85976E-03 3.04670E+01
2.04574E-03 3.01885E+01
2.10773E-03 3.00958E+01
2.23172E-03 2.99070E+01
2.41769E-03 2.96155E+01
2.47969E-03 2.95190E+01
2.75096E-03 2.90754E+01
2.94463E-03 2.87498E+01
2.98331E-03 2.86853E+01
3.09961E-03 2.84910E+01
3.40957E-03 2.79685E+01
3.71953E-03 2.74600E+01
4.18447E-03 2.67189E+01
4.33945E-03 2.64780E+01
4.80439E-03 2.57591E+01
4.95937E-03 2.55270E+01
5.57929E-03 2.46216E+01
5.88926E-03 2.41870E+01
6.19922E-03 2.37610E+01
6.64792E-03 2.31325E+01
7.12910E-03 2.25206E+01
7.43906E-03 2.21180E+01
8.05898E-03 2.13188E+01
8.51123E-03 2.07254E+01
8.98886E-03 2.01485E+01
9.29882E-03 1.97653E+01
9.91875E-03 1.90140E+01
1.05387E-02 1.82785E+01
1.09938E-02 1.77375E+01
1.14686E-02 1.72126E+01
1.17785E-02 1.68674E+01
1.23984E-02 1.61920E+01
1.29295E-02 1.56168E+01
1.34833E-02 1.50620E+01
1.42582E-02 1.43008E+01
1.48781E-02 1.37230E+01
1.54856E-02 1.31732E+01
1.61180E-02 1.26454E+01
1.67264E-02 1.21531E+01
1.73578E-02 1.16800E+01
1.79470E-02 1.12568E+01
1.88686E-02 1.06506E+01
1.98375E-02 1.00770E+01
2.10408E-02 9.45282E+00
2.23172E-02 8.86730E+00
2.32285E-02 8.51102E+00
2.41769E-02 8.16906E+00
2.47969E-02 7.96810E+00
2.63467E-02 7.52495E+00
2.78965E-02 7.15092E+00
2.86726E-02 6.98468E+00
2.98117E-02 6.76689E+00
3.09961E-02 6.55590E+00
3.32396E-02 6.22374E+00
3.56455E-02 5.90841E+00
3.71953E-02 5.72740E+00
3.87141E-02 5.55459E+00
4.02949E-02 5.38699E+00
4.26209E-02 5.13818E+00
4.33945E-02 5.05507E+00
4.50162E-02 4.88011E+00
4.76323E-02 4.59245E+00
4.95937E-02 4.37320E+00
5.11435E-02 4.19813E+00
5.29795E-02 3.99212E+00
5.43997E-02 3.84427E+00
5.66016E-02 3.63270E+00
5.88926E-02 3.43277E+00
5.92794E-02 3.40233E+00
6.19922E-02 3.21080E+00
6.53869E-02 3.01682E+00
6.89675E-02 2.83455E+00
7.09042E-02 2.72912E+00
7.12910E-02 2.70702E+00
7.26474E-02 2.62731E+00
7.43906E-02 2.51780E+00
7.59404E-02 2.41404E+00
7.74221E-02 2.31149E+00
7.96990E-02 2.16576E+00
8.20429E-02 2.02923E+00
8.37390E-02 1.94408E+00
8.57724E-02 1.85950E+00
8.67890E-02 1.82470E+00
8.83388E-02 1.78146E+00
8.96952E-02 1.75112E+00
9.43220E-02 1.67970E+00
9.91875E-02 1.61120E+00
1.02287E-01 1.55794E+00
1.07327E-01 1.45472E+00
1.11268E-01 1.38181E+00
1.14320E-01 1.32954E+00
1.19054E-01 1.25482E+00
1.23984E-01 1.18430E+00
1.27084E-01 1.15165E+00
1.32509E-01 1.10604E+00
1.40410E-01 1.05373E+00
1.48781E-01 1.00390E+00
1.54980E-01 9.64695E-01
1.64016E-01 9.06917E-01
1.73578E-01 8.52600E-01
1.81161E-01 8.13505E-01
1.89076E-01 7.76203E-01
1.95275E-01 7.46136E-01
1.98375E-01 7.30700E-01
2.04574E-01 6.98723E-01
2.10000E-01 6.70196E-01
2.14693E-01 6.44884E-01
2.19492E-01 6.20528E-01
2.26611E-01 5.84436E-01
2.31888E-01 5.58317E-01
2.37289E-01 5.33365E-01
2.42570E-01 5.09551E-01
2.47969E-01 4.86800E-01
2.55600E-01 4.56190E-01
2.63467E-01 4.27504E-01
2.68210E-01 4.10877E-01
2.75485E-01 3.87141E-01
2.82957E-01 3.64776E-01
2.91001E-01 3.41914E-01
2.99273E-01 3.20485E-01
3.08227E-01 2.98654E-01
3.17449E-01 2.78310E-01
3.27037E-01 2.58478E-01
3.36915E-01 2.40060E-01
3.42609E-01 2.29868E-01
3.51330E-01 2.15387E-01
3.60274E-01 2.01817E-01
3.66067E-01 1.93387E-01
3.71953E-01 1.85310E-01
3.79623E-01 1.75224E-01
3.87451E-01 1.65687E-01
3.94062E-01 1.57931E-01
4.04190E-01 1.46973E-01
4.14579E-01 1.36775E-01
4.24624E-01 1.27537E-01
4.34912E-01 1.18923E-01
4.42350E-01 1.13020E-01
4.53747E-01 1.04711E-01
4.65437E-01 9.70132E-02
4.72882E-01 9.23857E-02
4.84272E-01 8.58550E-02
4.95937E-01 7.97860E-02
5.07173E-01 7.43324E-02
5.15767E-01 7.04883E-02
5.22308E-01 6.77362E-02
5.32274E-01 6.38083E-02
