# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.943E+03
1.031E-03 1.936E+03
1.062E-03 1.929E+03
1.062E-03 1.929E+03
1.099E-03 1.921E+03
1.137E-03 1.912E+03
1.137E-03 1.912E+03
1.212E-03 1.895E+03
1.293E-03 1.877E+03
1.293E-03 1.877E+03
1.500E-03 1.828E+03
2.000E-03 1.713E+03
3.000E-03 1.497E+03
4.000E-03 1.306E+03
5.000E-03 1.148E+03
5.247E-03 1.113E+03
5.247E-03 1.113E+03
5.432E-03 1.089E+03
5.624E-03 1.063E+03
5.624E-03 1.063E+03
5.803E-03 1.038E+03
5.989E-03 1.017E+03
5.989E-03 1.017E+03
6.000E-03 1.016E+03
8.000E-03 8.106E+02
1.000E-02 6.607E+02
1.500E-02 4.345E+02
2.000E-02 3.118E+02
3.000E-02 1.794E+02
3.744E-02 1.290E+02
3.744E-02 1.290E+02
4.000E-02 1.168E+02
5.000E-02 8.305E+01
6.000E-02 6.223E+01
8.000E-02 3.845E+01
1.000E-01 2.607E+01
1.500E-01 1.269E+01
2.000E-01 7.521E+00
3.000E-01 3.519E+00
4.000E-01 2.029E+00
5.000E-01 1.317E+00
6.000E-01 9.237E-01
8.000E-01 5.254E-01
1.000E+00 3.383E-01
1.022E+00 3.241E-01
1.250E+00 2.175E-01
1.500E+00 1.514E-01
2.000E+00 8.535E-02
2.044E+00 8.173E-02
3.000E+00 3.801E-02
4.000E+00 2.139E-02
5.000E+00 1.370E-02
6.000E+00 9.513E-03
7.000E+00 6.990E-03
8.000E+00 5.352E-03
9.000E+00 4.229E-03
1.000E+01 3.425E-03
