# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.801E+03
1.074E-03 4.771E+03
1.153E-03 4.738E+03
1.153E-03 4.738E+03
1.500E-03 4.592E+03
2.000E-03 4.365E+03
3.000E-03 3.910E+03
3.000E-03 3.910E+03
3.000E-03 3.910E+03
3.136E-03 3.850E+03
3.136E-03 3.850E+03
3.389E-03 3.730E+03
3.663E-03 3.630E+03
3.663E-03 3.630E+03
4.000E-03 3.497E+03
4.327E-03 3.375E+03
4.327E-03 3.375E+03
4.487E-03 3.317E+03
4.652E-03 3.258E+03
4.652E-03 3.258E+03
5.000E-03 3.139E+03
6.000E-03 2.829E+03
8.000E-03 2.324E+03
1.000E-02 1.937E+03
1.500E-02 1.303E+03
1.503E-02 1.300E+03
1.503E-02 1.300E+03
1.641E-02 1.177E+03
1.791E-02 1.062E+03
1.791E-02 1.062E+03
1.827E-02 1.037E+03
1.864E-02 1.012E+03
1.864E-02 1.012E+03
2.000E-02 9.292E+02
3.000E-02 5.466E+02
4.000E-02 3.670E+02
5.000E-02 2.628E+02
6.000E-02 1.971E+02
8.000E-02 1.238E+02
1.000E-01 8.576E+01
1.011E-01 8.415E+01
1.011E-01 8.415E+01
1.500E-01 4.258E+01
2.000E-01 2.544E+01
3.000E-01 1.218E+01
4.000E-01 7.143E+00
5.000E-01 4.688E+00
6.000E-01 3.310E+00
8.000E-01 1.902E+00
1.000E+00 1.232E+00
1.022E+00 1.181E+00
1.250E+00 7.966E-01
1.500E+00 5.566E-01
2.000E+00 3.153E-01
2.044E+00 3.020E-01
3.000E+00 1.410E-01
4.000E+00 7.947E-02
5.000E+00 5.092E-02
6.000E+00 3.539E-02
7.000E+00 2.601E-02
8.000E+00 1.992E-02
9.000E+00 1.574E-02
1.000E+01 1.275E-02
