# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 4.890E+03
1.028E-03 4.878E+03
1.058E-03 4.865E+03
1.058E-03 4.865E+03
1.130E-03 4.832E+03
1.208E-03 4.797E+03
1.208E-03 4.797E+03
1.500E-03 4.665E+03
2.000E-03 4.433E+03
3.000E-03 3.978E+03
3.105E-03 3.931E+03
3.105E-03 3.931E+03
3.176E-03 3.901E+03
3.248E-03 3.870E+03
3.248E-03 3.870E+03
3.510E-03 3.760E+03
3.792E-03 3.644E+03
3.792E-03 3.644E+03
4.000E-03 3.562E+03
4.489E-03 3.378E+03
4.489E-03 3.378E+03
4.653E-03 3.319E+03
4.822E-03 3.260E+03
4.822E-03 3.260E+03
5.000E-03 3.199E+03
6.000E-03 2.885E+03
8.000E-03 2.374E+03
1.000E-02 1.982E+03
1.500E-02 1.336E+03
1.544E-02 1.294E+03
1.544E-02 1.294E+03
1.690E-02 1.168E+03
1.848E-02 1.050E+03
1.848E-02 1.050E+03
1.886E-02 1.025E+03
1.924E-02 1.001E+03
1.924E-02 1.001E+03
2.000E-02 9.547E+02
3.000E-02 5.618E+02
4.000E-02 3.774E+02
5.000E-02 2.707E+02
6.000E-02 2.031E+02
8.000E-02 1.276E+02
1.000E-01 8.841E+01
1.039E-01 8.288E+01
1.039E-01 8.288E+01
1.500E-01 4.395E+01
2.000E-01 2.628E+01
3.000E-01 1.259E+01
4.000E-01 7.386E+00
5.000E-01 4.850E+00
6.000E-01 3.426E+00
8.000E-01 1.969E+00
1.000E+00 1.277E+00
1.022E+00 1.223E+00
1.250E+00 8.253E-01
1.500E+00 5.768E-01
2.000E+00 3.268E-01
2.044E+00 3.131E-01
3.000E+00 1.462E-01
4.000E+00 8.241E-02
5.000E+00 5.280E-02
6.000E+00 3.669E-02
7.000E+00 2.697E-02
8.000E+00 2.065E-02
9.000E+00 1.632E-02
1.000E+01 1.322E-02
