# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 8.509E+02
1.500E-03 8.021E+02
1.804E-03 7.719E+02
1.804E-03 7.719E+02
1.834E-03 7.688E+02
1.864E-03 7.657E+02
1.864E-03 7.657E+02
2.000E-03 7.516E+02
2.065E-03 7.449E+02
2.065E-03 7.449E+02
3.000E-03 6.527E+02
4.000E-03 5.656E+02
5.000E-03 4.940E+02
6.000E-03 4.355E+02
8.000E-03 3.450E+02
1.000E-02 2.773E+02
1.500E-02 1.706E+02
1.520E-02 1.677E+02
1.520E-02 1.677E+02
2.000E-02 1.160E+02
3.000E-02 6.571E+01
4.000E-02 4.228E+01
5.000E-02 2.930E+01
6.000E-02 2.153E+01
8.000E-02 1.313E+01
1.000E-01 8.885E+00
1.500E-01 4.272E+00
2.000E-01 2.494E+00
3.000E-01 1.149E+00
4.000E-01 6.579E-01
5.000E-01 4.252E-01
6.000E-01 2.970E-01
8.000E-01 1.682E-01
1.000E+00 1.080E-01
1.022E+00 1.034E-01
1.250E+00 6.925E-02
1.500E+00 4.814E-02
2.000E+00 2.711E-02
2.044E+00 2.596E-02
3.000E+00 1.206E-02
4.000E+00 6.786E-03
5.000E+00 4.344E-03
6.000E+00 3.017E-03
7.000E+00 2.216E-03
8.000E+00 1.697E-03
9.000E+00 1.341E-03
1.000E+01 1.086E-03
