# This file has been generated by: bonini2025/script/fmt_tab5.py
#
# name: name of quantity over which mean is computed from 16:10 to 17:05 on DOY 225
# an: [µmol CO2.m-2.s-1] single-leaf gas exchange as assimilation
# gs: [mol CO2.m-2.s-1] stomatal conductance
# ppfd: [µmol photon.m-2.s-1] light availability PAR
# quantum_yield_ps2: [-] quantum yield of photosystem II
# t_cluster: [°C] cluster temperature
# tr: [mmol H2O.m-2.s-1] transpiration
# wp_leaf: [MPa] midday leaf water potential
# wue_i: [-] leaf water use efficiency A/gs
# wue_inst: [-] leaf water use efficiency A/E
#
name;an;gs;ppfd;quantum_yield_ps2;t_cluster;tr;wp_leaf;wue_i;wue_inst
MC;5.130;0.123;766.000;0.579;34.800;4.260;-1.010;35.000;1.000
CS;5.940;0.154;803.000;0.636;34.100;4.520;-1.100;38.100;1.210
OF;4.880;0.125;789.000;0.599;35.800;4.260;-1.210;37.200;1.040
AV;6.190;0.151;779.000;0.649;33.200;4.520;-0.910;35.800;1.170
East;1.710;0.113;114.000;0.725;33.900;3.270;-0.970;14.400;0.580
West;9.360;0.163;1454.000;0.490;35.000;5.520;-1.150;58.600;1.710
