# This file has been generated by: bonini2025/script/fmt_fig4.py
#
# hour: [h] hour of day
# tr_cs_TRT: [g H2O.m-2.h-1] T/LA mean over season for Cabernet Sauvignon for given treatment: AV (agrivoltaics) of OF (open field)
# tr_mc_TRT: [g H2O.m-2.h-1] T/LA mean over season for Malvasia di Candia aromatica  for given treatment: AV (agrivoltaics) of OF (open field)
#
hour;tr_cs_AV;tr_cs_OF;tr_mc_AV;tr_mc_OF
6.10;-4.06;-4.10;-4.60;-5.52
6.47;-4.18;-2.33;-2.53;-2.89
6.86;-1.48;1.56;0.55;1.82
7.24;2.40;6.62;6.16;6.89
7.64;6.79;13.03;12.68;13.58
8.02;13.03;19.45;20.46;21.37
8.41;19.11;27.89;26.98;30.06
8.79;26.03;35.48;31.51;37.12
9.18;32.11;42.74;36.72;45.99
9.56;38.35;47.46;45.81;53.05
9.94;41.26;51.01;51.24;59.39
10.34;44.43;56.07;58.67;65.73
10.71;49.69;59.28;63.92;68.81
11.12;55.57;64.68;69.17;72.97
11.50;61.30;69.07;74.96;78.58
11.88;69.57;71.94;81.30;82.75
12.27;73.12;74.13;85.82;85.82
12.64;76.16;75.82;87.45;89.26
13.03;80.04;78.69;86.91;91.80
13.41;79.36;78.86;84.56;92.89
13.82;75.31;77.84;80.39;93.43
14.20;70.25;77.67;77.68;93.43
14.58;68.05;77.34;77.50;91.98
14.95;66.37;76.32;77.50;90.71
15.35;67.72;76.32;78.76;89.45
15.73;70.42;75.31;81.12;88.00
16.11;72.78;74.64;80.94;84.01
16.50;70.75;70.92;75.14;78.04
16.90;65.69;66.54;66.63;71.88
17.28;58.77;60.46;58.12;64.28
17.66;54.55;54.55;52.45;55.23
18.05;48.48;47.30;45.99;45.99
18.43;43.92;40.21;40.20;36.22
18.81;39.53;36.16;35.49;31.51
19.20;31.60;29.57;29.88;25.54
19.60;25.69;23.67;25.17;20.46
19.98;18.60;17.42;18.47;14.85
20.36;13.71;13.88;14.13;11.41
20.75;6.79;6.79;5.62;2.67
