SOC,Temp,R_Ch(T=283.15),R_Ch(T=298.15),R_Ch(T=313.15),R_DCh(T=283.15),R_DCh(298.15),R_DCh(313.15)
0.0,283.15,0.12,0.12,0.12,0.541090909090909,0.541090909090909,0.541090909090909
0.01,298.15,0.11761136612021901,0.11761136612021901,0.11761136612021901,0.48052028650137796,0.48052028650137796,0.48052028650137796
0.02,313.15,0.11522273224043698,0.11522273224043698,0.11522273224043698,0.41994966391184596,0.41994966391184596,0.41994966391184596
0.03,,0.112834098360656,0.112834098360656,0.112834098360656,0.359379041322314,0.359379041322314,0.359379041322314
0.04,,0.11044546448087401,0.11044546448087401,0.11044546448087401,0.298808418732783,0.298808418732783,0.298808418732783
0.05,,0.108056830601093,0.108056830601093,0.108056830601093,0.23823779614325102,0.23823779614325102,0.23823779614325102
0.06,,0.10516633879781401,0.10516633879781401,0.10516633879781401,0.21575466811181895,0.21575466811181895,0.21575466811181895
0.07,,0.10227584699453501,0.10227584699453501,0.10227584699453501,0.193271540080387,0.193271540080387,0.193271540080387
0.08,,0.0993853551912568,0.0993853551912568,0.0993853551912568,0.170788412048955,0.170788412048955,0.170788412048955
0.09,,0.0964948633879782,0.0964948633879782,0.0964948633879782,0.148305284017523,0.148305284017523,0.148305284017523
0.1,,0.0936043715846995,0.0936043715846995,0.0936043715846995,0.125822155986091,0.125822155986091,0.125822155986091
0.11,,0.0906043817886442,0.0906043817886442,0.0906043817886442,0.11874072874144198,0.11874072874144198,0.11874072874144198
0.12,,0.0876043919925888,0.0876043919925888,0.0876043919925888,0.11165930149679301,0.11165930149679301,0.11165930149679301
0.13,,0.0846044021965335,0.0846044021965335,0.0846044021965335,0.104577874252144,0.104577874252144,0.104577874252144
0.14,,0.0816044124004781,0.0816044124004781,0.0816044124004781,0.0974964470074949,0.0974964470074949,0.0974964470074949
0.15,,0.0786044226044228,0.0786044226044228,0.0786044226044228,0.090415019762846,0.090415019762846,0.090415019762846
0.16,,0.0759194103194105,0.0759194103194105,0.0759194103194105,0.0898518965852396,0.0898518965852396,0.0898518965852396
0.17,,0.0732343980343981,0.0732343980343981,0.0732343980343981,0.0892887734076331,0.0892887734076331,0.0892887734076331
0.18,,0.0705493857493858,0.0705493857493858,0.0705493857493858,0.0887256502300266,0.0887256502300266,0.0887256502300266
0.19,,0.0678643734643735,0.0678643734643735,0.0678643734643735,0.0881625270524202,0.0881625270524202,0.0881625270524202
0.2,,0.0651793611793612,0.0651793611793612,0.0651793611793612,0.0875994038748137,0.0875994038748137,0.0875994038748137
0.21,,0.065011430029135,0.065011430029135,0.065011430029135,0.0865899652260308,0.0865899652260308,0.0865899652260308
0.22,,0.0648434988789087,0.0648434988789087,0.0648434988789087,0.0855805265772479,0.0855805265772479,0.0855805265772479
0.23,,0.0646755677286825,0.0646755677286825,0.0646755677286825,0.084571087928465,0.084571087928465,0.084571087928465
0.24,,0.0645076365784563,0.0645076365784563,0.0645076365784563,0.0835616492796821,0.0835616492796821,0.0835616492796821
0.25,,0.0643397054282301,0.0643397054282301,0.0643397054282301,0.0825522106308992,0.0825522106308992,0.0825522106308992
0.26,,0.0641717742780038,0.0641717742780038,0.0641717742780038,0.0815427719821163,0.0815427719821163,0.0815427719821163
0.27,,0.0640038431277776,0.0640038431277776,0.0640038431277776,0.0805333333333334,0.0805333333333334,0.0805333333333334
0.28,,0.0638359119775514,0.0638359119775514,0.0638359119775514,0.0795238946845505,0.0795238946845505,0.0795238946845505
0.29,,0.0636679808273252,0.0636679808273252,0.0636679808273252,0.0785144560357676,0.0785144560357676,0.0785144560357676
