EFC(T=298.15K),R_increase(T=298.15K),EFC(T=318.15K),R_increase(T=318.15K)
0,100,0,100
232.067510548515,98.4543325526932,232.067510548515,101.826697892272
569.620253164549,98.4543325526932,421.940928270034,103.512880562061
949.367088607588,100.327868852459,654.008438818557,105.573770491803
1455.69620253164,100.702576112412,1054.8523206751,108.946135831382
1919.83122362868,100.327868852459,1582.27848101265,110.819672131148
2383.96624472573,101.451990632318,2109.7046413502,113.255269320843
2890.29535864978,101.451990632318,2637.13080168776,115.878220140515
3354.43037974683,101.826697892272,3143.45991561181,117.564402810304
3860.75949367088,103.325526932084,3670.88607594936,119.063231850117
4324.89451476793,103.138173302108,4198.31223628691,121.686182669789
4789.02953586497,104.824355971897,4704.64135021097,123.747072599532
5253.16455696202,106.697892271663,5210.97046413501,125.620608899297
5759.49367088607,107.447306791569,5717.29957805907,127.868852459016
6223.62869198312,108.196721311475,6223.62869198312,129.742388758782
6687.76371308016,109.695550351288,6729.95780590717,131.803278688525
7151.89873417721,109.695550351288,7215.18987341772,133.302107728337
7616.03375527426,110.444964871194,7721.51898734177,135.175644028103
8080.1687763713,111.569086651054,8227.84810126582,137.423887587822
8544.30379746835,111.569086651054,8713.08016877637,139.672131147541
9008.4388185654,113.44262295082,9219.40928270042,141.35831381733
9472.57383966245,112.693208430913,9704.64135021097,143.419203747073
9936.70886075949,114.566744730679,10210.970464135,145.105386416862
10400.8438818565,114.192037470726,10696.2025316456,148.47775175644
10864.9789029536,114.192037470726,11160.3375527426,149.227166276347
11329.1139240506,114.566744730679,11666.6666666667,150.725995316159
11793.2489451477,114.941451990632,12151.8987341772,153.161592505855
12215.1898734177,116.440281030445,12616.0337552743,155.409836065574
12679.3248945148,115.316159250585,13101.2658227848,157.658079625293
13143.4599156118,112.693208430913,13586.4978902954,159.531615925059
13607.5949367089,112.693208430913,14050.6329113924,161.779859484777
14071.7299578059,111.943793911007,14535.864978903,163.466042154567
14493.6708860759,112.31850117096,15000,165.901639344262
14957.805907173,113.44262295082,15928.2700421941,170.96018735363
15400.8438818565,114.004683840749,16392.4050632911,172.646370023419
15843.8818565401,114.379391100703,16856.5400843882,175.081967213115
16286.9198312236,114.004683840749,17320.6751054852,177.704918032787
16751.0548523207,115.690866510539,17784.8101265823,180.327868852459
17637.1308016878,120.56206088993,18227.8481012658,182.950819672131
18080.1687763713,127.494145199063,18691.9831223629,185.19906323185
18544.3037974684,123.185011709602,19135.0210970464,188.196721311475
18966.2447257384,130.304449648712,19578.05907173,190.819672131148
19388.1856540084,131.428571428571,,
19852.3206751055,136.299765807963,,
