# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 2.20000E+01
2.47969E-05 2.20000E+01
4.95937E-05 2.19940E+01
9.91875E-05 2.19879E+01
1.23984E-04 2.19860E+01
2.16973E-04 2.19665E+01
2.47969E-04 2.19590E+01
3.71953E-04 2.19180E+01
4.95937E-04 2.18550E+01
5.88926E-04 2.17964E+01
6.19922E-04 2.17750E+01
6.27361E-04 2.17690E+01
7.12910E-04 2.17053E+01
7.43906E-04 2.16800E+01
8.52392E-04 2.15814E+01
9.45381E-04 2.14913E+01
9.91875E-04 2.14460E+01
1.11586E-03 2.13126E+01
1.23984E-03 2.11710E+01
1.36383E-03 2.10143E+01
1.45682E-03 2.08912E+01
1.48781E-03 2.08503E+01
1.59630E-03 2.06992E+01
1.73578E-03 2.05020E+01
1.90626E-03 2.02530E+01
2.09224E-03 1.99768E+01
2.10773E-03 1.99535E+01
2.23172E-03 1.97690E+01
2.41769E-03 1.94870E+01
2.47969E-03 1.93950E+01
2.78965E-03 1.89349E+01
2.94463E-03 1.87080E+01
3.09961E-03 1.84850E+01
3.56455E-03 1.78292E+01
3.71953E-03 1.76180E+01
4.01755E-03 1.72072E+01
4.33945E-03 1.68060E+01
4.63907E-03 1.64160E+01
4.95937E-03 1.60350E+01
5.57929E-03 1.52835E+01
5.88926E-03 1.49163E+01
6.19922E-03 1.45550E+01
6.81914E-03 1.38503E+01
7.12910E-03 1.35076E+01
7.43906E-03 1.31740E+01
8.05898E-03 1.25286E+01
8.52392E-03 1.20695E+01
8.98886E-03 1.16331E+01
9.44237E-03 1.12239E+01
9.91875E-03 1.08290E+01
1.05204E-02 1.03522E+01
1.11586E-02 9.89644E+00
1.17622E-02 9.50154E+00
1.23984E-02 9.12240E+00
1.30036E-02 8.80095E+00
1.36383E-02 8.49083E+00
1.42582E-02 8.22172E+00
1.48781E-02 7.97860E+00
1.57806E-02 7.67489E+00
1.67379E-02 7.38275E+00
1.73578E-02 7.21730E+00
1.85563E-02 6.93154E+00
1.98375E-02 6.65710E+00
2.10408E-02 6.41334E+00
2.23172E-02 6.17850E+00
2.41769E-02 5.83716E+00
2.47969E-02 5.72540E+00
2.63467E-02 5.44698E+00
2.75096E-02 5.23991E+00
2.92529E-02 4.93153E+00
3.09961E-02 4.62670E+00
3.25459E-02 4.35970E+00
3.35472E-02 4.18842E+00
3.45792E-02 4.02386E+00
3.56455E-02 3.85568E+00
3.71953E-02 3.62370E+00
3.87141E-02 3.40691E+00
4.02949E-02 3.20309E+00
4.18160E-02 3.01623E+00
4.33945E-02 2.84027E+00
4.43641E-02 2.73760E+00
4.56174E-02 2.61095E+00
4.65805E-02 2.51983E+00
4.80635E-02 2.38907E+00
4.95937E-02 2.26510E+00
5.16811E-02 2.11181E+00
5.38563E-02 1.96890E+00
5.52903E-02 1.88920E+00
5.67625E-02 1.81273E+00
5.88926E-02 1.72096E+00
5.90488E-02 1.71493E+00
6.10102E-02 1.64744E+00
6.19922E-02 1.61900E+00
6.48832E-02 1.55824E+00
6.94744E-02 1.47135E+00
7.43906E-02 1.38930E+00
7.73134E-02 1.32793E+00
7.95806E-02 1.28368E+00
8.31067E-02 1.22006E+00
