# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 2.094E+06
1.060E-03 1.838E+06
1.123E-03 1.613E+06
1.123E-03 1.849E+06
1.163E-03 1.716E+06
1.204E-03 1.592E+06
1.204E-03 1.687E+06
1.280E-03 1.482E+06
1.361E-03 1.302E+06
1.361E-03 1.360E+06
1.500E-03 1.099E+06
2.000E-03 5.666E+05
3.000E-03 2.122E+05
4.000E-03 1.031E+05
5.000E-03 5.828E+04
5.483E-03 4.591E+04
5.483E-03 1.318E+05
5.683E-03 1.208E+05
5.891E-03 1.107E+05
5.891E-03 1.500E+05
6.000E-03 1.447E+05
6.266E-03 1.294E+05
6.266E-03 1.493E+05
8.000E-03 8.054E+04
1.000E-02 4.468E+04
1.500E-02 1.506E+04
2.000E-02 6.850E+03
3.000E-02 2.218E+03
3.892E-02 1.065E+03
3.892E-02 6.245E+03
4.000E-02 5.802E+03
5.000E-02 3.227E+03
6.000E-02 1.977E+03
8.000E-02 8.981E+02
1.000E-01 4.820E+02
1.500E-01 1.534E+02
2.000E-01 6.798E+01
3.000E-01 2.203E+01
4.000E-01 1.022E+01
5.000E-01 5.789E+00
6.000E-01 3.718E+00
8.000E-01 1.932E+00
1.000E+00 1.208E+00
1.022E+00 1.155E+00
1.250E+00 8.274E-01
1.500E+00 7.804E-01
2.000E+00 1.078E+00
2.044E+00 1.115E+00
3.000E+00 2.012E+00
4.000E+00 2.909E+00
5.000E+00 3.705E+00
6.000E+00 4.401E+00
7.000E+00 5.022E+00
8.000E+00 5.584E+00
9.000E+00 6.097E+00
1.000E+01 6.568E+00
