# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 3.714E+04
1.142E-03 2.600E+04
1.305E-03 1.820E+04
1.305E-03 2.196E+05
1.500E-03 1.615E+05
2.000E-03 7.789E+04
3.000E-03 2.651E+04
4.000E-03 1.195E+04
5.000E-03 6.341E+03
6.000E-03 3.745E+03
8.000E-03 1.607E+03
1.000E-02 8.247E+02
1.500E-02 2.396E+02
2.000E-02 9.819E+01
3.000E-02 2.738E+01
4.000E-02 1.094E+01
5.000E-02 5.342E+00
6.000E-02 2.965E+00
8.000E-02 1.168E+00
1.000E-01 5.661E-01
1.500E-01 1.528E-01
2.000E-01 6.112E-02
3.000E-01 1.747E-02
4.000E-01 7.534E-03
5.000E-01 4.082E-03
6.000E-01 2.549E-03
8.000E-01 1.288E-03
1.000E+00 8.010E-04
1.022E+00 7.538E-04
1.250E+00 1.696E-03
1.500E+00 6.857E-03
2.000E+00 2.592E-02
2.044E+00 2.791E-02
3.000E+00 7.375E-02
4.000E+00 1.205E-01
5.000E+00 1.626E-01
6.000E+00 2.008E-01
7.000E+00 2.350E-01
8.000E+00 2.659E-01
9.000E+00 2.941E-01
1.000E+01 3.198E-01
