# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 1.371E+06
1.500E-03 5.457E+05
2.000E-03 2.737E+05
3.000E-03 9.990E+04
3.537E-03 6.568E+04
3.537E-03 2.140E+05
3.631E-03 2.007E+05
3.727E-03 1.881E+05
3.727E-03 2.583E+05
4.000E-03 2.173E+05
4.018E-03 2.149E+05
4.018E-03 2.466E+05
5.000E-03 1.426E+05
6.000E-03 8.871E+04
8.000E-03 4.147E+04
1.000E-02 2.273E+04
1.500E-02 7.469E+03
2.000E-02 3.348E+03
2.671E-02 1.480E+03
2.671E-02 9.289E+03
3.000E-02 6.885E+03
4.000E-02 3.217E+03
5.000E-02 1.747E+03
6.000E-02 1.052E+03
8.000E-02 4.662E+02
1.000E-01 2.458E+02
1.500E-01 7.602E+01
2.000E-01 3.310E+01
3.000E-01 1.048E+01
4.000E-01 4.796E+00
5.000E-01 2.691E+00
6.000E-01 1.718E+00
8.000E-01 8.870E-01
1.000E+00 5.535E-01
1.022E+00 5.267E-01
1.250E+00 3.857E-01
1.500E+00 3.964E-01
2.000E+00 6.446E-01
2.044E+00 6.734E-01
3.000E+00 1.348E+00
4.000E+00 2.015E+00
5.000E+00 2.606E+00
6.000E+00 3.122E+00
7.000E+00 3.585E+00
8.000E+00 4.004E+00
9.000E+00 4.385E+00
1.000E+01 4.735E+00
