# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 7.085E+05
1.500E-03 2.746E+05
2.000E-03 1.363E+05
2.370E-03 8.929E+04
2.370E-03 3.356E+05
2.417E-03 3.160E+05
2.465E-03 2.977E+05
2.465E-03 4.147E+05
2.579E-03 3.714E+05
2.698E-03 3.326E+05
2.698E-03 3.802E+05
3.000E-03 2.932E+05
4.000E-03 1.407E+05
5.000E-03 7.859E+04
6.000E-03 4.840E+04
8.000E-03 2.223E+04
1.000E-02 1.205E+04
1.500E-02 3.891E+03
1.899E-02 2.000E+03
1.899E-02 1.337E+04
2.000E-02 1.173E+04
3.000E-02 4.011E+03
4.000E-02 1.815E+03
5.000E-02 9.683E+02
6.000E-02 5.753E+02
8.000E-02 2.500E+02
1.000E-01 1.300E+02
1.500E-01 3.932E+01
2.000E-01 1.687E+01
3.000E-01 5.249E+00
4.000E-01 2.375E+00
5.000E-01 1.324E+00
6.000E-01 8.411E-01
8.000E-01 4.323E-01
1.000E+00 2.694E-01
1.022E+00 2.563E-01
1.250E+00 1.930E-01
1.500E+00 2.200E-01
2.000E+00 4.171E-01
2.044E+00 4.388E-01
3.000E+00 9.455E-01
4.000E+00 1.446E+00
5.000E+00 1.891E+00
6.000E+00 2.281E+00
7.000E+00 2.631E+00
8.000E+00 2.948E+00
9.000E+00 3.235E+00
1.000E+01 3.499E+00
