# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.011E+02
1.500E-03 9.140E+01
1.560E-03 9.026E+01
1.560E-03 9.026E+01
2.000E-03 8.236E+01
3.000E-03 6.822E+01
4.000E-03 5.804E+01
5.000E-03 4.998E+01
6.000E-03 4.318E+01
8.000E-03 3.239E+01
1.000E-02 2.470E+01
1.500E-02 1.405E+01
2.000E-02 9.166E+00
3.000E-02 4.908E+00
4.000E-02 3.073E+00
5.000E-02 2.096E+00
6.000E-02 1.517E+00
8.000E-02 8.982E-01
1.000E-01 5.930E-01
1.500E-01 2.743E-01
2.000E-01 1.570E-01
3.000E-01 7.078E-02
4.000E-01 4.003E-02
5.000E-01 2.568E-02
6.000E-01 1.786E-02
8.000E-01 1.006E-02
1.000E+00 6.443E-03
1.022E+00 6.169E-03
1.250E+00 4.125E-03
1.500E+00 2.865E-03
2.000E+00 1.612E-03
2.044E+00 1.543E-03
3.000E+00 7.166E-04
4.000E+00 4.031E-04
5.000E+00 2.580E-04
6.000E+00 1.792E-04
7.000E+00 1.316E-04
8.000E+00 1.008E-04
9.000E+00 7.963E-05
1.000E+01 6.450E-05
