# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 2.015E+03
1.060E-03 2.000E+03
1.123E-03 1.985E+03
1.123E-03 1.985E+03
1.163E-03 1.975E+03
1.204E-03 1.965E+03
1.204E-03 1.965E+03
1.280E-03 1.947E+03
1.361E-03 1.927E+03
1.361E-03 1.927E+03
1.500E-03 1.892E+03
2.000E-03 1.770E+03
3.000E-03 1.543E+03
4.000E-03 1.348E+03
5.000E-03 1.184E+03
5.483E-03 1.116E+03
5.483E-03 1.116E+03
5.683E-03 1.090E+03
5.891E-03 1.063E+03
5.891E-03 1.063E+03
6.000E-03 1.049E+03
6.266E-03 1.017E+03
6.266E-03 1.017E+03
8.000E-03 8.391E+02
1.000E-02 6.850E+02
1.500E-02 4.504E+02
2.000E-02 3.238E+02
3.000E-02 1.872E+02
3.892E-02 1.269E+02
3.892E-02 1.269E+02
4.000E-02 1.218E+02
5.000E-02 8.665E+01
6.000E-02 6.498E+01
8.000E-02 4.023E+01
1.000E-01 2.729E+01
1.500E-01 1.329E+01
2.000E-01 7.879E+00
3.000E-01 3.690E+00
4.000E-01 2.128E+00
5.000E-01 1.383E+00
6.000E-01 9.695E-01
8.000E-01 5.517E-01
1.000E+00 3.552E-01
1.022E+00 3.403E-01
1.250E+00 2.284E-01
1.500E+00 1.590E-01
2.000E+00 8.965E-02
2.044E+00 8.585E-02
3.000E+00 3.992E-02
4.000E+00 2.247E-02
5.000E+00 1.439E-02
6.000E+00 9.993E-03
7.000E+00 7.343E-03
8.000E+00 5.622E-03
9.000E+00 4.442E-03
1.000E+01 3.598E-03
