# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 3.300E+03
1.500E-03 3.159E+03
1.662E-03 3.109E+03
1.662E-03 3.109E+03
1.689E-03 3.101E+03
1.716E-03 3.092E+03
1.716E-03 3.092E+03
2.000E-03 3.007E+03
2.108E-03 2.973E+03
2.108E-03 2.973E+03
2.233E-03 2.933E+03
2.365E-03 2.892E+03
2.365E-03 2.892E+03
2.480E-03 2.860E+03
2.601E-03 2.826E+03
2.601E-03 2.826E+03
3.000E-03 2.704E+03
4.000E-03 2.418E+03
5.000E-03 2.158E+03
6.000E-03 1.929E+03
8.000E-03 1.554E+03
9.561E-03 1.327E+03
9.561E-03 1.327E+03
1.000E-02 1.272E+03
1.074E-02 1.185E+03
1.074E-02 1.185E+03
1.100E-02 1.157E+03
1.127E-02 1.129E+03
1.127E-02 1.129E+03
1.500E-02 8.215E+02
2.000E-02 5.802E+02
3.000E-02 3.430E+02
4.000E-02 2.254E+02
5.000E-02 1.593E+02
6.000E-02 1.194E+02
6.535E-02 1.042E+02
6.535E-02 1.042E+02
8.000E-02 7.500E+01
1.000E-01 5.142E+01
1.500E-01 2.512E+01
2.000E-01 1.496E+01
3.000E-01 7.096E+00
4.000E-01 4.122E+00
5.000E-01 2.689E+00
6.000E-01 1.891E+00
8.000E-01 1.080E+00
1.000E+00 6.975E-01
1.022E+00 6.683E-01
1.250E+00 4.494E-01
1.500E+00 3.133E-01
2.000E+00 1.770E-01
2.044E+00 1.695E-01
3.000E+00 7.893E-02
4.000E+00 4.445E-02
5.000E+00 2.847E-02
6.000E+00 1.977E-02
7.000E+00 1.453E-02
8.000E+00 1.113E-02
9.000E+00 8.792E-03
1.000E+01 7.122E-03
