# Elastic scattering cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
# Energy  X-section
# (MeV)    (barn)
#
1.000E-03 1.051E+03
1.500E-03 9.878E+02
2.000E-03 9.215E+02
2.370E-03 8.727E+02
2.370E-03 8.727E+02
2.417E-03 8.674E+02
2.465E-03 8.619E+02
2.465E-03 8.619E+02
2.579E-03 8.479E+02
2.698E-03 8.327E+02
2.698E-03 8.327E+02
3.000E-03 7.962E+02
4.000E-03 6.887E+02
5.000E-03 6.002E+02
6.000E-03 5.283E+02
8.000E-03 4.208E+02
1.000E-02 3.434E+02
1.500E-02 2.177E+02
1.899E-02 1.593E+02
1.899E-02 1.593E+02
2.000E-02 1.484E+02
3.000E-02 8.386E+01
4.000E-02 5.453E+01
5.000E-02 3.807E+01
6.000E-02 2.802E+01
8.000E-02 1.708E+01
1.000E-01 1.157E+01
1.500E-01 5.589E+00
2.000E-01 3.274E+00
3.000E-01 1.513E+00
4.000E-01 8.675E-01
5.000E-01 5.613E-01
6.000E-01 3.924E-01
8.000E-01 2.224E-01
1.000E+00 1.428E-01
1.022E+00 1.368E-01
1.250E+00 9.165E-02
1.500E+00 6.373E-02
2.000E+00 3.590E-02
2.044E+00 3.437E-02
3.000E+00 1.597E-02
4.000E+00 8.987E-03
5.000E+00 5.753E-03
6.000E+00 3.995E-03
7.000E+00 2.935E-03
8.000E+00 2.248E-03
9.000E+00 1.776E-03
1.000E+01 1.438E-03
