# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 8.697E+05
1.500E-03 3.390E+05
2.000E-03 1.687E+05
2.677E-03 8.153E+04
2.677E-03 2.936E+05
2.734E-03 2.760E+05
2.793E-03 2.596E+05
2.793E-03 3.606E+05
3.000E-03 3.019E+05
3.043E-03 2.918E+05
3.043E-03 3.339E+05
4.000E-03 1.677E+05
5.000E-03 9.421E+04
6.000E-03 5.824E+04
8.000E-03 2.689E+04
1.000E-02 1.462E+04
1.500E-02 4.745E+03
2.000E-02 2.110E+03
2.104E-02 1.827E+03
2.104E-02 1.199E+04
3.000E-02 4.754E+03
4.000E-02 2.164E+03
5.000E-02 1.161E+03
6.000E-02 6.920E+02
8.000E-02 3.024E+02
1.000E-01 1.578E+02
1.500E-01 4.806E+01
2.000E-01 2.071E+01
3.000E-01 6.477E+00
4.000E-01 2.940E+00
5.000E-01 1.641E+00
6.000E-01 1.044E+00
8.000E-01 5.374E-01
1.000E+00 3.350E-01
1.022E+00 3.188E-01
1.250E+00 2.378E-01
1.500E+00 2.620E-01
2.000E+00 4.742E-01
2.044E+00 4.979E-01
3.000E+00 1.051E+00
4.000E+00 1.598E+00
5.000E+00 2.083E+00
6.000E+00 2.507E+00
7.000E+00 2.889E+00
8.000E+00 3.233E+00
9.000E+00 3.547E+00
1.000E+01 3.835E+00
