# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 3.474E+05
1.500E-03 1.322E+05
1.550E-03 1.221E+05
1.550E-03 5.714E+05
1.573E-03 5.216E+05
1.596E-03 4.760E+05
1.596E-03 6.763E+05
1.686E-03 5.964E+05
1.782E-03 5.260E+05
1.782E-03 5.956E+05
2.000E-03 4.514E+05
3.000E-03 1.627E+05
4.000E-03 7.664E+04
5.000E-03 4.218E+04
6.000E-03 2.572E+04
8.000E-03 1.166E+04
1.000E-02 6.263E+03
1.347E-02 2.706E+03
1.347E-02 1.933E+04
1.500E-02 1.468E+04
2.000E-02 6.872E+03
3.000E-02 2.254E+03
4.000E-02 9.957E+02
5.000E-02 5.241E+02
6.000E-02 3.076E+02
8.000E-02 1.314E+02
1.000E-01 6.749E+01
1.500E-01 2.000E+01
2.000E-01 8.472E+00
3.000E-01 2.595E+00
4.000E-01 1.163E+00
5.000E-01 6.441E-01
6.000E-01 4.078E-01
8.000E-01 2.088E-01
1.000E+00 1.300E-01
1.022E+00 1.236E-01
1.250E+00 9.687E-02
1.500E+00 1.256E-01
2.000E+00 2.766E-01
2.044E+00 2.928E-01
3.000E+00 6.691E-01
4.000E+00 1.042E+00
5.000E+00 1.373E+00
6.000E+00 1.666E+00
7.000E+00 1.929E+00
8.000E+00 2.166E+00
9.000E+00 2.381E+00
1.000E+01 2.578E+00
