# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 2.110E+05
1.500E-03 7.309E+04
2.000E-03 3.379E+04
3.000E-03 1.116E+04
3.203E-03 9.312E+03
3.203E-03 8.444E+04
4.000E-03 5.011E+04
5.000E-03 2.793E+04
6.000E-03 1.712E+04
8.000E-03 7.760E+03
1.000E-02 4.134E+03
1.500E-02 1.278E+03
2.000E-02 5.444E+02
3.000E-02 1.594E+02
4.000E-02 6.573E+01
5.000E-02 3.281E+01
6.000E-02 1.853E+01
8.000E-02 7.479E+00
1.000E-01 3.691E+00
1.500E-01 1.024E+00
2.000E-01 4.166E-01
3.000E-01 1.215E-01
4.000E-01 5.293E-02
5.000E-01 2.882E-02
6.000E-01 1.805E-02
8.000E-01 9.158E-03
1.000E+00 5.696E-03
1.022E+00 5.389E-03
1.250E+00 6.477E-03
1.500E+00 1.771E-02
2.000E+00 6.044E-02
2.044E+00 6.494E-02
3.000E+00 1.674E-01
4.000E+00 2.706E-01
5.000E+00 3.632E-01
6.000E+00 4.465E-01
7.000E+00 5.211E-01
8.000E+00 5.885E-01
9.000E+00 6.496E-01
1.000E+01 7.051E-01
