# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 4.663E+05
1.500E-03 1.664E+05
2.000E-03 7.815E+04
3.000E-03 2.621E+04
4.000E-03 1.189E+04
4.966E-03 6.513E+03
4.966E-03 5.453E+04
5.000E-03 5.422E+04
6.000E-03 3.425E+04
8.000E-03 1.599E+04
1.000E-02 8.719E+03
1.500E-02 2.797E+03
2.000E-02 1.219E+03
3.000E-02 3.676E+02
4.000E-02 1.543E+02
5.000E-02 7.808E+01
6.000E-02 4.453E+01
8.000E-02 1.825E+01
1.000E-01 9.096E+00
1.500E-01 2.567E+00
2.000E-01 1.055E+00
3.000E-01 3.115E-01
4.000E-01 1.367E-01
5.000E-01 7.472E-02
6.000E-01 4.692E-02
8.000E-01 2.385E-02
1.000E+00 1.483E-02
1.022E+00 1.406E-02
1.250E+00 1.394E-02
1.500E+00 2.989E-02
2.000E+00 9.359E-02
2.044E+00 1.004E-01
3.000E+00 2.524E-01
4.000E+00 4.050E-01
5.000E+00 5.415E-01
6.000E+00 6.642E-01
7.000E+00 7.737E-01
8.000E+00 8.725E-01
9.000E+00 9.623E-01
1.000E+01 1.043E+00
