# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 9.853E+05
1.500E-03 4.382E+05
1.662E-03 3.534E+05
1.662E-03 4.376E+05
1.689E-03 6.470E+05
1.716E-03 9.551E+05
1.716E-03 1.077E+06
2.000E-03 1.063E+06
2.108E-03 9.315E+05
2.108E-03 1.081E+06
2.233E-03 9.404E+05
2.365E-03 8.179E+05
2.365E-03 8.694E+05
2.480E-03 7.788E+05
2.601E-03 6.976E+05
2.601E-03 7.279E+05
3.000E-03 5.214E+05
4.000E-03 2.601E+05
5.000E-03 1.494E+05
6.000E-03 9.422E+04
8.000E-03 4.499E+04
9.561E-03 2.829E+04
9.561E-03 7.444E+04
1.000E-02 6.692E+04
1.074E-02 5.495E+04
1.074E-02 7.554E+04
1.100E-02 7.125E+04
1.127E-02 6.719E+04
1.127E-02 7.768E+04
1.500E-02 3.738E+04
2.000E-02 1.744E+04
3.000E-02 5.850E+03
4.000E-02 2.659E+03
5.000E-02 1.435E+03
6.000E-02 8.641E+02
6.535E-02 6.808E+02
6.535E-02 3.530E+03
8.000E-02 2.073E+03
1.000E-01 1.149E+03
1.500E-01 3.837E+02
2.000E-01 1.752E+02
3.000E-01 5.902E+01
4.000E-01 2.805E+01
5.000E-01 1.615E+01
6.000E-01 1.049E+01
8.000E-01 5.514E+00
1.000E+00 3.463E+00
1.022E+00 3.314E+00
1.250E+00 2.325E+00
1.500E+00 2.019E+00
2.000E+00 2.297E+00
2.044E+00 2.345E+00
3.000E+00 3.575E+00
4.000E+00 4.860E+00
5.000E+00 6.003E+00
6.000E+00 7.011E+00
7.000E+00 7.914E+00
8.000E+00 8.734E+00
9.000E+00 9.483E+00
1.000E+01 1.017E+01
