# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 7.379E+05
1.500E-03 2.718E+05
2.000E-03 1.293E+05
3.000E-03 4.397E+04
4.000E-03 2.009E+04
5.000E-03 1.085E+04
6.000E-03 6.528E+03
6.539E-03 5.130E+03
6.539E-03 4.107E+04
8.000E-03 2.481E+04
1.000E-02 1.370E+04
1.500E-02 4.514E+03
2.000E-02 2.001E+03
3.000E-02 6.161E+02
4.000E-02 2.621E+02
5.000E-02 1.338E+02
6.000E-02 7.685E+01
8.000E-02 3.180E+01
1.000E-01 1.597E+01
1.500E-01 4.563E+00
2.000E-01 1.889E+00
3.000E-01 5.626E-01
4.000E-01 2.481E-01
5.000E-01 1.361E-01
6.000E-01 8.562E-02
8.000E-01 4.359E-02
1.000E+00 2.712E-02
1.022E+00 2.573E-02
1.250E+00 2.335E-02
1.500E+00 4.298E-02
2.000E+00 1.243E-01
2.044E+00 1.330E-01
3.000E+00 3.287E-01
4.000E+00 5.243E-01
5.000E+00 6.990E-01
6.000E+00 8.557E-01
7.000E+00 9.955E-01
8.000E+00 1.121E+00
9.000E+00 1.236E+00
1.000E+01 1.340E+00
