# Photo-absorption total cross-section
# From: https://physics.nist.gov/cgi-bin/Xcom
#
#  Energy    X-section
#  (MeV)      (barn)
#
1.000E-03 6.367E+05
1.500E-03 2.462E+05
2.000E-03 1.221E+05
2.222E-03 9.396E+04
2.222E-03 3.614E+05
2.264E-03 3.402E+05
2.307E-03 3.203E+05
2.307E-03 4.465E+05
2.417E-03 3.989E+05
2.532E-03 3.565E+05
2.532E-03 4.068E+05
3.000E-03 2.677E+05
4.000E-03 1.282E+05
5.000E-03 7.147E+04
6.000E-03 4.395E+04
8.000E-03 2.014E+04
1.000E-02 1.090E+04
1.500E-02 3.512E+03
1.800E-02 2.099E+03
1.800E-02 1.417E+04
2.000E-02 1.081E+04
3.000E-02 3.669E+03
4.000E-02 1.656E+03
5.000E-02 8.813E+02
6.000E-02 5.224E+02
8.000E-02 2.264E+02
1.000E-01 1.175E+02
1.500E-01 3.542E+01
2.000E-01 1.517E+01
3.000E-01 4.707E+00
4.000E-01 2.126E+00
5.000E-01 1.184E+00
6.000E-01 7.517E-01
8.000E-01 3.861E-01
1.000E+00 2.406E-01
1.022E+00 2.288E-01
1.250E+00 1.732E-01
1.500E+00 2.011E-01
2.000E+00 3.905E-01
2.044E+00 4.113E-01
3.000E+00 8.953E-01
4.000E+00 1.374E+00
5.000E+00 1.798E+00
6.000E+00 2.171E+00
7.000E+00 2.507E+00
8.000E+00 2.809E+00
9.000E+00 3.084E+00
1.000E+01 3.336E+00
