# Coherent scattering form factor
# (Excerpt from EPICS2017 / EPDL)
#
# Momentum  Form-factor
#  (MeV)
#
0.00000E+00 5.20000E+01
2.47969E-05 5.20000E+01
4.95937E-05 5.19935E+01
9.91875E-05 5.19871E+01
1.23984E-04 5.19850E+01
2.16973E-04 5.19567E+01
2.47969E-04 5.19500E+01
3.71953E-04 5.18940E+01
4.95937E-04 5.18130E+01
6.19922E-04 5.17090E+01
6.27361E-04 5.17007E+01
7.43906E-04 5.15830E+01
8.67890E-04 5.14342E+01
9.91875E-04 5.12690E+01
1.17785E-03 5.09824E+01
1.23984E-03 5.08810E+01
1.36383E-03 5.06596E+01
1.54980E-03 5.02944E+01
1.61180E-03 5.01652E+01
1.73578E-03 4.99010E+01
1.95275E-03 4.94066E+01
2.10773E-03 4.90331E+01
2.13873E-03 4.89550E+01
2.23172E-03 4.87280E+01
2.47969E-03 4.80930E+01
2.75096E-03 4.73690E+01
2.94463E-03 4.68450E+01
2.98331E-03 4.67406E+01
3.09961E-03 4.64230E+01
3.40957E-03 4.55683E+01
3.71953E-03 4.47240E+01
4.18447E-03 4.34800E+01
4.33945E-03 4.30750E+01
4.80439E-03 4.18832E+01
4.95937E-03 4.15000E+01
5.57929E-03 4.00101E+01
5.88926E-03 3.92959E+01
6.19922E-03 3.86010E+01
6.81914E-03 3.72625E+01
7.12910E-03 3.66144E+01
7.43906E-03 3.59830E+01
7.96304E-03 3.49034E+01
8.52392E-03 3.38561E+01
8.67890E-03 3.35646E+01
9.45381E-03 3.21375E+01
9.91875E-03 3.13140E+01
1.05204E-02 3.02486E+01
1.11586E-02 2.92194E+01
1.17622E-02 2.82455E+01
1.23984E-02 2.73040E+01
1.32958E-02 2.60075E+01
1.42582E-02 2.47726E+01
1.48781E-02 2.40280E+01
1.60702E-02 2.27268E+01
1.73578E-02 2.14960E+01
1.85563E-02 2.05125E+01
1.98375E-02 1.95740E+01
2.10408E-02 1.88044E+01
2.23172E-02 1.80650E+01
2.35244E-02 1.74184E+01
2.47969E-02 1.67950E+01
2.61181E-02 1.61577E+01
2.75096E-02 1.55446E+01
2.78965E-02 1.53736E+01
2.92529E-02 1.47795E+01
3.09961E-02 1.40290E+01
3.25459E-02 1.33700E+01
3.36888E-02 1.28803E+01
3.48718E-02 1.24086E+01
3.56455E-02 1.20974E+01
3.71953E-02 1.14910E+01
3.86211E-02 1.09414E+01
4.01015E-02 1.04180E+01
4.17155E-02 9.86115E+00
4.33945E-02 9.33407E+00
4.34912E-02 9.30457E+00
4.49426E-02 8.87144E+00
4.60628E-02 8.55987E+00
4.77957E-02 8.11292E+00
4.95937E-02 7.68930E+00
5.16811E-02 7.24953E+00
5.38563E-02 6.83492E+00
5.52903E-02 6.60155E+00
5.67625E-02 6.37615E+00
5.88926E-02 6.09945E+00
5.93761E-02 6.04325E+00
6.19922E-02 5.78010E+00
6.50918E-02 5.54477E+00
6.79358E-02 5.36682E+00
7.09042E-02 5.19458E+00
7.43906E-02 4.98040E+00
7.74902E-02 4.76731E+00
7.97171E-02 4.61336E+00
8.31779E-02 4.39170E+00
8.67890E-02 4.18070E+00
9.13202E-02 3.96524E+00
9.60879E-02 3.76089E+00
9.91875E-02 3.62390E+00
1.02287E-01 3.47826E+00
1.05000E-01 3.34703E+00
1.07347E-01 3.23031E+00
1.09746E-01 3.11766E+00
1.13250E-01 2.95132E+00
1.16865E-01 2.79385E+00
1.17785E-01 2.75450E+00
1.20845E-01 2.62962E+00
1.23984E-01 2.51040E+00
1.26842E-01 2.41102E+00
1.32003E-01 2.24647E+00
1.36012E-01 2.13047E+00
1.39097E-01 2.04742E+00
