# This file has been generated by: bonini2025/script/fmt_tab2.py
#
# name: name of quantity over which mean is computed from 12:00 to 13:30 on DOY 225
# an: [µmol CO2.m-2.s-1] single-leaf gas exchange as assimilation
# gs: [mol CO2.m-2.s-1] stomatal conductance
# ppfd: [µmol photon.m-2.s-1] light availability PAR
# quantum_yield_ps2: [-] quantum yield of photosystem II
# t_cluster: [°C] cluster temperature
# tr: [mmol H2O.m-2.s-1] transpiration
# wp_leaf: [MPa] midday leaf water potential
# wue_i: [-] leaf water use efficiency A/gs
# wue_inst: [-] leaf water use efficiency A/E
#
name;an;gs;ppfd;quantum_yield_ps2;t_cluster;tr;wp_leaf;wue_i;wue_inst
MC;6.310;0.150;608.000;0.581;31.700;3.320;-0.900;46.200;1.600
CS;8.750;0.198;914.000;0.520;31.400;4.940;-1.100;44.000;1.650
OF;12.100;0.178;791.000;0.484;32.900;4.650;-1.150;43.700;1.510
AV;10.400;0.170;731.000;0.627;30.300;4.130;-0.770;45.100;1.740
East;11.300;0.160;1240.000;0.375;33.100;4.800;-1.000;65.000;2.240
West;3.800;0.187;282.000;0.727;30.100;3.470;-0.920;23.800;1.010
