# This file has been generated by: bonini2025/script/fmt_tab4.py
#
# name: name of quantity over which mean is computed from 14:15 to 15:15 on DOY 225
# an: [µmol CO2.m-2.s-1] single-leaf gas exchange as assimilation
# gs: [mol CO2.m-2.s-1] stomatal conductance
# ppfd: [µmol photon.m-2.s-1] light availability PAR
# quantum_yield_ps2: [-] quantum yield of photosystem II
# t_cluster: [°C] cluster temperature
# tr: [mmol H2O.m-2.s-1] transpiration
# wp_leaf: [MPa] midday leaf water potential
# wue_i: [-] leaf water use efficiency A/gs
# wue_inst: [-] leaf water use efficiency A/E
#
name;an;gs;ppfd;quantum_yield_ps2;t_cluster;tr;wp_leaf;wue_i;wue_inst
MC;3.140;0.120;244.000;0.625;33.300;2.960;-0.880;29.600;1.130
CS;2.820;0.120;284.000;0.690;33.200;2.610;-1.100;27.400;1.140
OF;3.510;0.101;377.000;0.632;33.600;2.544;-1.160;38.800;1.450
AV;2.430;0.139;152.000;0.728;32.900;3.035;-0.810;18.200;0.810
East;3.160;0.128;314.000;0.703;33.900;2.733;-0.990;28.900;1.240
West;2.790;0.113;215.000;0.612;32.600;2.845;-0.990;28.100;1.030
